Pointer,PP711921 - OQ818320,PP711921 - PP711911,OQ818320 - PP711911
7440,8,1,90
7460,7,0,91
7480,3,1,96
7500,6,0,93
7520,18,2,76
7540,9,0,86
7560,1,3,92
7580,30,0,54
7600,42,0,41
7620,41,0,36
7640,35,0,45
7660,38,0,38
7680,0,0,0
7700,0,0,0
7720,0,0,0
7740,52,0,17
7760,77,0,10
7780,92,0,4
7800,89,0,4
7820,91,0,4
7840,97,0,2
7860,91,0,3
7880,95,0,3
7900,27,18,46
7920,49,9,36
7940,37,18,36
7960,27,32,32
7980,21,33,43
8000,15,42,40
8020,21,44,27
8040,25,34,38
8060,30,23,45
8080,23,36,40
8100,35,0,0
8120,0,0,0
8140,0,0,0
