Pointer,PP711911 - NC_033820,PP711911 - PP711921,NC_033820 - PP711921
5920,0,0,100
5940,0,0,100
5960,0,0,100
5980,0,0,100
6000,0,0,99
6020,0,0,100
6040,0,0,100
6060,1,0,97
6080,16,3,77
6100,19,9,65
6120,11,7,78
6140,14,12,70
6160,4,11,77
6180,15,21,59
6200,3,54,35
6220,7,68,18
6240,10,74,13
6260,0,35,58
6280,8,16,70
6300,9,11,79
6320,11,8,79
6340,9,2,88
6360,5,0,94
6380,1,0,99
6400,2,0,98
6420,1,0,98
6440,1,1,98
6460,5,0,91
6480,16,3,75
6500,15,8,72
6520,18,20,57
6540,4,51,38
6560,3,90,5
6580,2,95,1
6600,2,90,7
6620,0,80,16
6640,3,60,34
6660,3,78,17
6680,2,78,16
6700,1,63,33
6720,2,85,8
6740,10,60,21
6760,17,19,54
6780,16,25,53
6800,39,38,19
6820,34,28,28
6840,30,49,10
6860,35,37,21
6880,18,41,36
6900,3,15,80
6920,3,4,87
6940,0,8,90
6960,2,14,81
6980,3,16,73
7000,2,22,72
7020,7,17,69
7040,18,7,72
7060,10,12,69
7080,18,16,58
7100,15,15,60
7120,21,34,42
7140,16,13,69
7160,13,16,70
7180,2,4,90
7200,6,2,92
7220,9,0,91
7240,1,5,93
7260,3,1,95
7280,10,4,83
7300,52,15,21
7320,0,0,0
7340,50,41,0
7360,41,46,7
7380,63,31,0
7400,77,22,1
7420,79,18,1
7440,65,32,1
7460,66,32,1
7480,86,13,1
7500,89,7,4
7520,93,5,2
7540,84,0,11
7560,82,2,10
7580,35,0,41
7600,44,0,36
7620,42,0,38
7640,37,0,33
7660,30,0,42
7680,0,0,0
7700,0,0,0
7720,0,0,0
7740,0,0,0
7760,9,13,57
7780,3,3,84
7800,1,11,76
7820,2,3,82
7840,2,12,71
7860,1,4,82
7880,2,9,79
7900,11,11,70
7920,27,19,49
7940,19,21,53
7960,32,40,23
7980,59,29,8
8000,45,47,5
8020,52,34,12
8040,34,46,12
8060,32,53,12
8080,32,52,14
8100,45,41,10
8120,0,0,0
8140,0,0,0
8160,0,0,0
