Position in alignment,OQ709197 - OP963622,OQ709197 - PV788824,OP963622 - PV788824
6820,0,0,100
6840,0,2,98
6860,0,4,95
6880,0,1,99
6900,0,0,100
6920,0,2,94
6940,0,0,99
6960,0,5,95
6980,1,7,90
7000,5,34,54
7020,2,51,45
7040,2,50,45
7060,1,59,37
7080,0,75,23
7100,0,85,14
7120,0,96,4
7140,0,98,2
7160,0,100,0
7180,0,100,0
7200,0,95,5
7220,0,84,13
7240,0,96,4
7260,1,95,4
7280,4,94,2
7300,32,59,7
7320,16,72,7
7340,40,47,10
7360,14,67,13
7380,8,88,2
7400,11,86,2
7420,8,84,5
7440,10,69,13
7460,13,51,33
7480,4,66,27
7500,0,91,7
7520,0,94,5
7540,0,91,9
7560,4,93,3
7580,0,81,19
7600,1,71,28
7620,2,94,4
7640,0,94,6
7660,0,99,1
7680,0,93,1
7700,0,69,14
7720,3,59,37
7740,6,52,27
7760,0,77,10
7780,0,0,0
7800,0,0,0
7820,0,0,0
7840,0,0,0
7860,0,0,0
7880,0,0,0
7900,0,0,0
7920,0,0,0
7940,0,0,0
7960,0,0,0
7980,0,0,0
