Pointer,PP711921 - OQ818320,PP711921 - PP711911,OQ818320 - PP711911
7440,2,30,66
7460,2,33,64
7480,5,9,84
7500,6,5,88
7520,4,3,91
7540,12,0,83
7560,10,2,82
7580,41,0,35
7600,35,0,45
7620,37,0,43
7640,32,0,38
7660,40,0,33
7680,0,0,0
7700,0,0,0
7720,0,0,0
7740,0,0,0
7760,56,13,11
7780,84,3,3
7800,76,11,1
7820,82,3,2
7840,71,12,2
7860,82,4,2
7880,79,9,2
7900,70,10,13
7920,47,17,31
7940,49,20,25
7960,22,38,35
7980,8,27,62
8000,4,43,49
8020,13,36,45
8040,12,48,31
8060,11,53,26
8080,15,50,26
8100,12,35,33
8120,0,0,0
8140,0,0,0
8160,0,0,0
