Pointer,OQ818328 - PP766469,OQ818328 - HQ595345.1,PP766469 - HQ595345.1
6800,90,6,0
6820,98,1,1
6840,93,3,3
6860,95,1,3
6880,81,5,9
6900,78,9,12
6920,81,9,7
6940,91,5,0
6960,88,8,2
6980,63,20,13
7000,74,18,2
7020,77,18,3
7040,85,7,2
7060,65,19,6
7080,66,28,1
7100,91,7,2
7120,69,11,12
7140,67,14,10
7160,69,14,10
7180,93,5,2
7200,80,1,15
7220,90,6,3
7240,96,0,1
7260,100,0,0
7280,96,2,2
7300,92,3,3
7320,97,0,1
7340,100,0,0
7360,98,1,0
7380,97,0,2
7400,95,3,1
7420,73,12,10
7440,41,27,22
7460,52,21,20
7480,87,6,4
7500,84,10,2
7520,92,4,0
7540,96,4,0
7560,92,4,1
7580,99,0,0
7600,97,3,0
7620,98,1,0
7640,100,0,0
7660,97,2,0
7680,99,0,0
7700,91,5,1
7720,97,2,0
7740,97,3,0
7760,96,0,1
7780,98,1,0
7800,100,0,0
7820,99,0,1
7840,96,0,3
7860,100,0,0
7880,100,0,0
7900,100,0,0
7920,100,0,0
7940,100,0,0
7960,100,0,0
7980,100,0,0
8000,100,0,0
8020,100,0,0
8040,100,0,0
8060,100,0,0
8080,100,0,0
8100,100,0,0
8120,100,0,0
8140,99,0,0
8160,100,0,0
8180,100,0,0
8200,96,4,0
8220,94,6,0
8240,81,17,2
8260,82,18,0
8280,76,23,0
8300,58,29,10
8320,74,25,1
8340,83,16,0
8360,100,0,0
8380,87,13,0
8400,98,2,0
8420,92,8,0
8440,94,5,0
8460,98,2,0
8480,95,5,0
8500,100,0,0
8520,95,5,0
