Pointer,PP711930 - OQ818328,PP711930 - PP711912,OQ818328 - PP711912
6820,5,93,0
6840,37,58,2
6860,10,86,2
6880,2,97,0
6900,1,99,0
6920,0,99,1
6940,0,93,3
6960,0,92,6
6980,0,91,5
7000,0,93,6
7020,0,97,1
7040,0,100,0
7060,0,99,0
7080,0,98,1
7100,0,100,0
7120,0,100,0
7140,0,100,0
7160,0,100,0
7180,0,99,0
7200,1,93,3
7220,1,95,2
7240,2,92,5
7260,3,89,4
7280,7,78,8
7300,7,68,17
7320,49,30,17
7340,10,26,53
7360,6,44,43
7380,23,64,8
7400,32,47,11
7420,32,40,21
7440,38,26,22
7460,16,50,22
7480,38,20,27
7500,36,54,6
7520,21,56,14
7540,19,62,4
7560,20,57,15
7580,4,85,9
7600,1,95,2
7620,2,80,12
7640,2,97,1
7660,1,98,1
7680,0,100,0
7700,1,99,0
7720,1,99,0
7740,0,100,0
7760,3,96,0
7780,4,95,0
7800,19,79,1
7820,12,85,0
7840,66,32,0
7860,44,46,1
7880,32,59,1
7900,13,85,0
7920,5,89,0
7940,21,72,1
7960,8,89,0
7980,5,93,0
8000,5,94,0
8020,2,94,0
8040,1,98,0
8060,0,100,0
8080,3,95,0
8100,30,52,6
8120,55,26,14
8140,22,31,35
8160,29,42,16
8180,27,14,51
8200,55,1,37
8220,53,2,38
8240,63,1,30
8260,83,1,12
8280,60,1,31
8300,67,0,25
8320,79,0,13
8340,75,0,20
8360,89,0,8
8380,98,0,1
8400,97,2,1
8420,97,3,0
8440,96,4,0
8460,92,7,1
8480,95,5,0
8500,94,3,0
8520,80,18,0
