Pointer,ON872527 - OQ709197,ON872527 - PP766459,OQ709197 - PP766459
6820,37,55,5
6840,26,63,9
6860,46,39,11
6880,52,38,10
6900,41,49,10
6920,73,23,4
6940,65,26,9
6960,78,13,6
6980,91,5,3
7000,96,1,3
7020,41,47,7
7040,59,37,2
7060,33,61,3
7080,30,59,6
7100,34,50,11
7120,15,74,8
7140,6,82,11
7160,1,91,6
7180,0,97,3
7200,0,92,4
7220,4,57,38
7240,1,56,40
7260,4,28,65
7280,14,51,27
7300,3,46,11
7320,2,52,12
7340,3,42,7
7360,4,51,12
7380,17,61,12
7400,22,43,17
7420,17,59,12
7440,28,29,14
7460,8,37,39
7480,16,35,43
7500,26,43,25
7520,45,13,38
7540,40,5,53
7560,28,3,66
7580,10,10,79
7600,9,4,82
7620,6,11,78
7640,1,7,88
7660,23,26,47
7680,1,18,39
7700,4,13,45
7720,0,12,22
7740,1,6,21
7760,19,15,43
7780,0,0,0
7800,0,0,0
7820,0,0,0
7840,0,0,0
7860,0,0,0
7880,0,0,0
7900,0,0,0
7920,0,0,0
7940,0,0,0
7960,0,0,0
7980,0,0,0
