Pointer,OQ709197 - PP766459,OQ709197 - r_aegypticus_kenya,PP766459 - r_aegypticus_kenya
6780,0,36,62
6800,0,16,83
6820,0,16,84
6840,0,15,84
6860,0,5,95
6880,0,17,83
6900,0,19,79
6920,0,27,72
6940,0,15,85
6960,0,24,75
6980,0,25,71
7000,0,42,56
7020,0,77,23
7040,0,87,13
7060,0,89,11
7080,0,97,2
7100,0,96,3
7120,0,93,7
7140,0,94,5
7160,0,85,14
7180,0,93,5
7200,0,71,22
7220,0,53,37
7240,0,59,31
7260,0,78,20
7280,0,73,26
7300,0,65,35
7320,0,55,45
7340,0,18,80
7360,2,70,28
7380,1,83,16
7400,5,93,2
7420,1,77,22
7440,7,46,47
7460,5,55,40
7480,4,55,40
7500,0,52,48
7520,1,59,38
7540,0,51,49
7560,0,25,75
7580,1,14,85
7600,0,31,69
7620,0,38,61
7640,0,41,58
7660,0,30,68
7680,0,59,37
7700,0,74,26
7720,0,86,14
7740,0,94,6
7760,0,99,1
7780,0,100,0
7800,2,97,1
7820,28,38,29
7840,7,63,29
7860,16,55,22
7880,32,14,20
7900,43,11,22
7920,36,7,18
7940,30,9,20
7960,21,4,42
7980,22,1,46
8000,13,5,73
8020,0,63,35
8040,1,60,39
8060,3,80,17
8080,3,88,9
8100,9,80,10
8120,1,91,8
8140,0,91,8
8160,0,85,15
8180,3,82,15
8200,1,97,2
8220,26,64,8
8240,0,92,0
8260,0,88,0
8280,0,90,0
8300,0,88,0
8320,0,0,0
