Pointer,OQ818329 - NC_033820,OQ818329 - PP711943,NC_033820 - PP711943
3700,0,0,100
3720,0,0,100
3740,0,0,100
3760,0,0,100
3780,0,0,100
3800,0,0,100
3820,0,0,100
3840,0,0,100
3860,0,0,100
3880,0,0,100
3900,0,0,100
3920,0,0,100
3940,0,0,100
3960,0,0,100
3980,0,0,100
4000,0,0,100
4020,0,0,100
4040,0,0,100
4060,0,0,100
4080,0,0,100
4100,0,0,100
4120,0,0,100
4140,0,0,100
4160,0,0,100
4180,0,0,100
4200,0,0,100
4220,0,0,100
4240,0,0,100
4260,0,0,100
4280,0,0,100
4300,0,0,100
4320,0,0,100
4340,0,0,100
4360,0,0,100
4380,0,0,100
4400,0,0,100
4420,0,0,100
4440,0,0,100
4460,0,0,100
4480,0,0,100
4500,0,0,100
4520,0,0,100
4540,0,0,100
4560,0,0,100
4580,0,0,100
4600,0,0,100
4620,0,0,100
4640,0,0,100
4660,0,0,100
4680,0,0,100
4700,0,0,100
4720,0,0,100
4740,0,0,100
4760,0,0,100
4780,0,0,100
4800,0,0,100
4820,0,0,100
4840,0,0,100
4860,0,0,100
4880,0,0,100
4900,0,0,100
4920,0,0,100
4940,0,0,100
4960,0,0,100
4980,0,0,100
5000,0,0,100
5020,0,0,100
5040,0,0,100
5060,0,0,100
5080,0,0,100
5100,0,0,100
5120,0,0,100
5140,0,0,100
5160,0,0,100
5180,0,0,100
5200,0,0,100
5220,0,0,100
5240,0,0,100
5260,0,0,100
5280,0,0,100
5300,0,0,100
5320,0,0,100
5340,0,0,100
5360,0,0,100
5380,0,0,100
5400,0,0,100
5420,0,0,100
5440,0,0,100
5460,0,0,100
5480,0,0,100
5500,0,0,100
5520,0,0,100
5540,0,0,100
5560,0,0,100
5580,0,0,100
5600,0,0,100
5620,0,0,100
5640,0,0,100
5660,0,0,100
5680,0,0,100
5700,0,0,100
5720,0,0,100
5740,0,0,100
5760,0,0,100
5780,0,0,100
5800,0,0,100
5820,0,0,100
5840,0,0,100
5860,0,0,100
5880,0,0,100
5900,0,0,100
5920,0,0,100
5940,0,0,100
5960,0,0,100
5980,0,0,100
6000,0,0,100
6020,0,0,100
6040,0,0,100
6060,0,0,100
6080,0,0,100
6100,0,0,100
6120,0,0,100
6140,0,0,100
6160,0,0,100
6180,0,0,100
6200,0,0,100
6220,0,0,100
6240,0,0,100
6260,0,0,100
6280,0,0,100
6300,0,0,100
6320,0,0,100
6340,0,0,100
6360,0,0,100
6380,0,0,100
6400,0,0,100
6420,0,0,100
6440,0,0,100
6460,0,0,100
6480,0,0,100
6500,0,0,100
6520,0,0,100
6540,0,0,100
6560,0,0,100
6580,0,0,100
6600,0,0,100
6620,0,0,100
6640,0,0,100
6660,0,0,100
6680,0,0,100
6700,0,0,100
6720,0,0,100
6740,0,0,100
6760,0,0,100
6780,0,0,100
6800,0,0,100
6820,0,0,100
6840,0,0,100
6860,0,0,100
6880,0,0,100
6900,0,0,100
6920,0,0,100
6940,0,0,100
6960,0,0,100
6980,0,0,100
7000,0,0,100
7020,0,0,100
7040,0,0,100
7060,0,0,100
7080,0,0,100
7100,0,0,100
7120,0,0,100
7140,0,0,100
7160,0,0,100
7180,0,0,100
7200,0,0,100
7220,0,0,100
7240,0,0,100
7260,0,0,100
7280,0,0,100
7300,0,0,100
7320,0,0,100
7340,0,0,100
7360,0,0,100
7380,0,0,100
7400,0,0,100
7420,0,0,100
7440,0,0,100
7460,0,0,100
7480,0,0,100
7500,0,0,100
7520,0,0,100
7540,0,0,100
7560,0,0,100
7580,0,0,100
7600,0,0,100
7620,0,0,100
7640,0,0,100
7660,0,0,100
7680,0,0,100
7700,0,0,100
7720,0,0,100
7740,0,0,100
7760,0,0,100
7780,0,0,100
7800,0,0,100
7820,0,0,100
7840,0,0,100
7860,0,0,100
7880,0,0,100
7900,0,0,100
7920,0,0,100
7940,0,0,100
7960,0,0,100
7980,0,0,100
8000,0,0,100
8020,0,0,100
8040,0,0,100
8060,0,0,100
8080,0,0,100
8100,0,0,100
8120,0,0,100
8140,0,0,100
8160,0,0,100
8180,0,0,100
8200,0,0,100
8220,0,0,85
