Pointer,OR951324 - OQ818318,OR951324 - rousettus_china,OQ818318 - rousettus_china
6800,0,10,87
6820,0,1,97
6840,0,18,72
6860,0,18,74
6880,0,26,70
6900,0,8,89
6920,0,7,91
6940,0,4,91
6960,0,28,64
6980,0,54,40
7000,0,81,15
7020,0,82,16
7040,0,66,28
7060,0,43,48
7080,0,24,68
7100,0,28,68
7120,0,29,58
7140,0,59,28
7160,0,42,43
7180,0,24,63
7200,0,14,79
7220,0,20,72
7240,0,44,46
7260,0,100,0
7280,0,98,1
7300,0,100,0
7320,0,98,2
7340,0,95,3
7360,0,75,22
7380,0,88,10
7400,0,85,8
7420,0,73,24
7440,0,83,9
7460,0,34,54
7480,0,38,51
7500,0,25,70
7520,0,49,36
7540,0,60,39
7560,0,86,14
7580,0,88,12
7600,0,83,16
7620,0,86,12
7640,2,70,25
7660,12,71,16
7680,6,64,30
7700,11,53,36
