Pointer,NC_003987 - OQ818320,NC_003987 - OQ818329,OQ818320 - OQ818329
4480,5,28,66
4500,7,17,76
4520,3,10,87
4540,2,0,98
4560,1,1,98
4580,1,0,99
4600,1,0,99
4620,25,1,74
4640,32,1,66
4660,31,2,66
4680,24,0,76
4700,9,0,91
4720,3,1,96
4740,1,0,99
4760,0,0,100
4780,1,1,98
4800,0,0,100
4820,0,0,100
4840,0,0,100
4860,0,0,100
4880,0,0,100
4900,0,0,100
4920,0,0,100
4940,0,0,100
4960,0,0,100
4980,0,0,100
5000,0,0,100
5020,0,0,100
5040,0,0,100
5060,0,0,100
5080,0,12,87
5100,13,49,26
5120,9,40,43
5140,8,24,65
5160,11,31,46
5180,18,19,53
5200,14,25,51
5220,14,21,55
5240,29,13,56
5260,12,26,57
5280,14,13,67
5300,10,18,69
5320,4,7,88
5340,41,6,51
5360,32,5,62
5380,18,18,64
5400,21,23,56
5420,15,30,55
5440,5,24,71
5460,22,20,58
5480,16,4,80
5500,13,4,83
5520,11,12,77
5540,2,18,80
5560,2,7,91
5580,12,3,84
5600,17,2,80
5620,2,1,95
5640,2,2,93
5660,3,1,93
5680,0,1,99
5700,0,0,100
5720,0,0,100
5740,0,0,100
5760,0,1,99
5780,0,0,100
5800,0,0,100
5820,0,0,100
5840,0,0,100
5860,0,0,100
5880,0,0,100
5900,2,0,98
5920,2,0,98
5940,1,0,99
5960,0,0,100
5980,0,0,100
6000,0,0,100
6020,0,1,99
6040,0,1,99
6060,0,4,96
6080,0,1,99
6100,0,3,97
6120,0,6,94
6140,0,7,89
6160,0,27,70
6180,0,28,67
6200,0,44,49
6220,0,28,67
6240,0,51,39
6260,0,12,87
6280,0,37,60
6300,0,25,70
6320,0,15,82
6340,0,20,74
6360,5,9,78
6380,0,0,100
6400,4,2,93
6420,0,7,92
6440,7,1,90
6460,6,2,88
6480,0,3,97
6500,0,0,100
6520,0,0,100
6540,0,3,97
6560,0,8,92
6580,0,17,82
6600,0,8,89
6620,1,9,85
6640,0,4,94
6660,0,3,96
6680,5,6,85
6700,29,9,52
6720,4,5,86
6740,2,3,93
6760,0,0,100
6780,0,0,100
6800,0,0,100
6820,0,0,99
6840,0,0,100
6860,0,0,100
6880,0,0,100
6900,0,0,100
6920,0,0,99
6940,2,0,98
6960,12,0,86
6980,26,0,71
7000,22,0,75
7020,41,0,52
7040,18,0,73
7060,38,0,60
7080,12,0,85
7100,8,0,86
7120,1,1,97
7140,0,0,99
7160,0,15,84
7180,1,19,80
7200,0,6,94
7220,1,18,81
7240,0,13,87
7260,0,10,89
7280,2,9,87
7300,23,2,75
7320,45,0,53
7340,50,1,49
7360,60,0,39
7380,68,0,28
7400,55,0,39
7420,50,4,43
7440,68,6,18
7460,32,6,52
7480,34,7,55
7500,13,13,69
7520,3,27,67
7540,1,50,42
7560,1,17,78
7580,0,12,87
7600,0,7,92
7620,0,5,94
7640,1,8,87
7660,5,24,67
7680,1,27,69
7700,0,15,82
7720,0,9,89
7740,0,3,97
7760,0,6,92
7780,0,9,87
7800,2,21,71
7820,0,9,88
7840,3,5,90
7860,2,2,96
7880,0,0,99
7900,1,1,98
7920,4,3,92
7940,11,4,84
7960,28,3,69
7980,54,8,38
8000,13,4,83
8020,42,13,45
8040,40,6,54
8060,37,14,49
8080,61,28,11
8100,33,52,14
8120,48,36,14
8140,78,15,2
