Pointer,OQ818328 - PP711912,OQ818328 - PP766469,PP711912 - PP766469
6820,26,67,2
6840,30,61,3
6860,29,63,2
6880,29,58,5
6900,19,51,15
6920,25,11,50
6940,60,13,18
6960,56,9,24
6980,49,9,33
7000,68,16,11
7020,34,18,35
7040,14,8,72
7060,19,1,76
7080,56,1,37
7100,23,0,73
7120,25,4,65
7140,8,10,75
7160,5,6,87
7180,14,6,73
7200,20,4,69
7220,34,27,33
7240,35,33,17
7260,39,46,4
7280,11,60,22
7300,19,72,5
7320,28,52,10
7340,61,27,6
7360,72,21,3
7380,58,34,4
7400,55,28,8
7420,67,4,20
7440,39,3,45
7460,26,5,60
7480,16,25,52
7500,26,34,31
7520,11,29,48
7540,8,32,51
7560,6,43,48
7580,9,21,62
7600,13,6,73
7620,9,54,28
7640,9,49,40
7660,7,60,29
7680,14,64,14
7700,5,47,42
7720,2,65,29
7740,0,55,40
7760,2,62,27
7780,1,74,20
7800,0,91,5
7820,0,84,15
7840,4,76,15
7860,3,73,17
7880,1,73,18
7900,5,83,10
7920,8,83,3
7940,4,75,13
7960,6,64,22
7980,6,69,18
8000,9,56,28
8020,30,6,56
8040,14,14,69
8060,38,4,53
8080,59,3,34
8100,37,4,56
8120,45,12,43
8140,44,8,46
8160,34,6,59
8180,39,26,32
8200,60,11,28
8220,44,46,10
8240,27,69,4
8260,12,87,1
8280,2,95,3
8300,7,88,1
8320,14,84,2
8340,8,82,8
8360,12,75,5
8380,24,47,13
