Accession,Isolate,Species,Genus,Family,Country,source,Host,Collection_Date,novel
NC_076039.1,BtRf-PicoV-1/YN2012,Shanbavirus A,Shanbavirus,Picornaviridae,China,Rhinolophus ferrumequinum,1,2010,0
NC_076040.1,BtNv-PicoV/SC2013,Shanbavirus A,Shanbavirus,Picornaviridae,China,Nyctalus velutinus,1,2013,0
OP287812.1,FEC145,Eidolon dupreanum kobuvirus,Kobuvirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,0
OQ363751.1,GD/L117.18d/2022,Bat picornavirus 5,Unclassified,Picornaviridae,China,Miniopterus pusillus,1,2022,0
OQ363752.1,GD/L117.18e/2022,Bat picornavirus 5,Unclassified,Picornaviridae,China,Miniopterus pusillus,1,2022,0
OQ363753.1,GD/L117.18b/2022,Bat picornavirus 5,Unclassified,Picornaviridae,China,Miniopterus pusillus,1,2022,0
OQ363754.1,GD/L117.18f/2022,Bat picornavirus 5,Unclassified,Picornaviridae,China,Miniopterus pusillus,1,2022,0
OQ363755.1,GD/L117.18g/2022,Bat picornavirus 5,Unclassified,Picornaviridae,China,Miniopterus pusillus,1,2022,0
OQ363758.1,GD/L12.18a/2020,Bat picornavirus 6,Unclassified,Picornaviridae,China,Miniopterus pusillus,1,2020,0
OQ363759.1,GD/L117.18a/2022,Bat picornavirus 5,Unclassified,Picornaviridae,China,Miniopterus pusillus,1,2022,0
OQ363761.1,GD/L12.18b/2020,Bat picornavirus 6,Unclassified,Picornaviridae,China,Miniopterus pusillus,1,2020,0
OQ363764.1,GD/L96.21/2022,Bat picornavirus 3,Unclassified,Picornaviridae,China,Rhinolophus sinicus,1,2022,0
OQ363766.1,CQ/L77.18b/2021,Bat picornavirus 3,Unclassified,Picornaviridae,China,Rhinolophus pusillus,1,2021,0
OQ363767.1,GD/L91.18/2022,Bat picornavirus 3,Unclassified,Picornaviridae,China,Rhinolophus pusillus,1,2022,0
OQ363768.1,GD/L95.21/2022,Bat picornavirus 3,Unclassified,Picornaviridae,China,Rhinolophus sinicus,1,2022,0
OQ363769.1,GD/L23.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,China,Rhinolophus sinicus,1,2020,0
OQ363770.1,GD/L24.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,China,Rhinolophus sinicus,1,2020,0
OQ363771.1,GD/L20.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,China,Rhinolophus sinicus,1,2020,0
OQ363772.1,GD/L67.18/2021,Bat picornavirus 7,Unclassified,Picornaviridae,China,Taphozous melanopogon,1,2021,0
OQ363773.1,GD/L25.18/2020,Bat picornavirus 3,Unclassified,Picornaviridae,China,Rhinolophus sinicus,1,2020,0
OQ363775.1,CQ/L77.18a/2021,Bat picornavirus 3,Unclassified,Picornaviridae,China,Rhinolophus pusillus,1,2021,0
OQ363777.1,GD/L8.18/2020,Shanbavirus A,Shanbavirus,Picornaviridae,China,Rhinolophus sinicus,1,2020,0
OQ363779.1,GD/L58.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,China,Rhinolophus pusillus,1,2021,0
OQ363780.1,GD/L4.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,China,Rhinolophus pusillus,1,2020,0
OQ363781.1,GD/L15.18/2020,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,China,Rhinolophus pearsonii,1,2020,0
OQ363782.1,GD/L71.18b/2021,Bat picornavirus 4,Unclassified,Picornaviridae,China,Rhinolophus,1,2021,0
OQ363783.1,GD/L26.18/2020,Bat picornavirus 4,Unclassified,Picornaviridae,China,Rhinolophus sinicus,1,2020,0
OQ363786.1,GD/L32.18/2021,Rhinolophus bat shanbavirus,Shanbavirus,Picornaviridae,China,Rhinolophus pusillus,1,2021,0
OQ363806.1,GZ/L175.18/2022,Bat picornavirus 1,Unclassified,Picornaviridae,China,Miniopterus schreibersii,1,2022,0
OQ818316,,Unclassified,Mischivirus,Picornaviridae,Madagascar,Pteropus rufus,1,2018,1
OQ818317,,Unclassified,Kunsagivirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818318,,Unclassified,Teschovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818319,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818320,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818321,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818322,,Unclassified,Kobuvirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2019,1
OQ818323,,Unclassified,Teschovirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818324,,Unclassified,Teschovirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818325,,Unclassified,Picornavirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818328,,Unclassified,Picornavirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818329,,Unclassified,Sapelovirus,Picornaviridae,Madagascar,Rousettus madagascariensis,1,2018,1
OQ818337,,Unclassified,Hepatovirus,Picornaviridae,Madagascar,Eidolon dupreanum,1,2018,1
OQ818340,,Unclassified,Sapovirus,Caliciviridae,Madagascar,Eidolon dupreanum,1,2018,1
