Accession,Organism_Name,Isolate,Species,Genus,Country,source,Host,Collection_Date,novel
MN784122.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Nigeria,Mandrillus leucophaeus,0,2017,0
MN807752.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,Hungary,Sus scrofa domesticus,0,2013,0
MN836683.1,Sapelovirus A,SwPSV75BO2012,Sapelovirus A,Sapelovirus,Italy,Sus scrofa,0,2012,0
MT080999.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2019,0
NC_001547.1,Sindbis virus,,Sindbis virus,Alphavirus,USA,Cell culture,0,1981,0
NC_003987.1,porcine sapelovirus 1,,Sapelovirus A,Sapelovirus,Germany,Sus scrofa,0,2001,0
NC_004451.1,Simian sapelovirus 1,,Sapelovirus B,Sapelovirus,USA,Simiiformes,0,2003,0
NC_040605.1,Marmot sapelovirus 1,,Marmot sapelovirus 1,Sapelovirus,China,Marmota himalayana,0,2013,0
OL598599.1,Sapelovirus A,CHN-SCMY-2021,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2021,0
OM037653.1,Sapelovirus A,HLJ-12,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
OM037654.1,Sapelovirus A,HLJ-14,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
OM037655.1,Sapelovirus A,HLJ-15,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
OM037656.1,Sapelovirus A,HLJ-41,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
OM328111.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2021,0
ON146286.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
ON375365.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2016,0
ON375366.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2016,0
ON375367.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2017,0
ON375368.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2018,0
OQ447500.1,Sapelovirus A,,Sapelovirus A,Sapelovirus,China,Sus scrofa,0,2020,0
PP711921.1,Eidolon bat sapelovirus,18A/Kenya/BAT509/2015,Eidolon bat sapelovirus,Sapelovirus,Kenya,Eidolon helvum,1,2015,0
PP711911.1,Rousettus bat sapelovirus,10A/Kenya/BAT22/2015,Rousettus bat sapelovirus,Sapelovirus,Kenya,Rousettus aegypticus,1,2015,0
PP711943.1,Eidolon bat sapelovirus,6A/Kenya/BAT606/2015,Eidolon bat sapelovirus,Sapelovirus,Kenya,Eidolon helvum,1,2015,0
