pointer,MK153132
498,46.0
499,46.0
500,45.0
501,45.0
502,46.0
503,46.0
504,46.0
505,45.0
506,44.0
507,43.0
508,42.0
509,42.0
510,41.0
511,40.0
512,39.0
513,38.0
514,38.0
515,37.0
516,38.0
517,39.0
518,39.0
519,39.0
520,39.0
521,39.0
522,39.0
523,39.0
524,39.0
525,39.0
526,39.0
527,40.0
528,40.0
529,41.0
530,40.0
531,40.0
532,41.0
533,41.0
534,41.0
535,41.0
536,42.0
537,42.0
538,41.0
539,40.0
540,40.0
541,41.0
542,41.0
543,41.0
544,41.0
545,42.0
546,42.0
547,43.0
548,43.0
549,43.0
550,42.0
551,41.0
552,42.0
553,43.0
554,42.0
555,42.0
556,41.0
557,42.0
558,42.0
559,43.0
560,44.0
561,45.0
562,46.0
563,46.0
564,47.0
565,48.0
566,48.0
567,49.0
568,49.0
569,50.0
570,49.0
571,50.0
572,51.0
573,51.0
574,51.0
575,52.0
576,53.0
577,53.0
578,54.0
579,54.0
580,55.00000000000001
581,55.00000000000001
582,56.00000000000001
583,56.00000000000001
584,56.99999999999999
585,56.99999999999999
586,56.99999999999999
587,57.99999999999999
588,57.99999999999999
589,56.99999999999999
590,56.99999999999999
591,56.99999999999999
592,56.00000000000001
593,56.00000000000001
594,56.99999999999999
595,56.99999999999999
596,57.99999999999999
597,57.99999999999999
598,57.99999999999999
599,59.0
600,59.0
601,60.0
602,59.0
603,57.99999999999999
604,59.0
605,59.0
606,60.0
607,61.0
608,61.0
609,60.0
610,60.0
611,61.0
612,61.0
613,61.0
614,61.0
615,61.0
616,60.0
617,59.0
618,57.99999999999999
619,59.0
620,59.0
621,57.99999999999999
622,59.0
623,59.0
624,59.0
625,57.99999999999999
626,59.0
627,57.99999999999999
628,57.99999999999999
629,56.99999999999999
630,56.99999999999999
631,56.99999999999999
632,56.00000000000001
633,56.99999999999999
634,56.99999999999999
635,56.99999999999999
636,56.99999999999999
637,56.99999999999999
638,57.99999999999999
639,59.0
640,59.0
641,59.0
642,57.99999999999999
643,56.99999999999999
644,56.00000000000001
645,55.00000000000001
646,55.00000000000001
647,54.0
648,54.0
649,54.0
650,54.0
651,55.00000000000001
652,55.00000000000001
653,55.00000000000001
654,56.00000000000001
655,56.00000000000001
656,56.99999999999999
657,56.00000000000001
658,55.00000000000001
659,54.0
660,54.0
661,54.0
662,53.0
663,53.0
664,52.0
665,51.0
666,52.0
667,51.0
668,51.0
669,51.0
670,52.0
671,52.0
672,51.0
673,51.0
674,50.0
675,49.0
676,49.0
677,49.0
678,49.0
679,48.0
680,48.0
681,48.0
682,47.0
683,47.0
684,46.0
685,45.0
686,46.0
687,45.0
688,44.0
689,44.0
690,43.0
691,43.0
692,43.0
693,43.0
694,43.0
695,43.0
696,42.0
697,43.0
698,44.0
699,44.0
700,45.0
701,45.0
702,45.0
703,46.0
704,46.0
705,47.0
706,46.0
707,45.0
708,46.0
709,47.0
710,48.0
711,47.0
712,47.0
713,47.0
714,47.0
715,48.0
716,49.0
717,50.0
718,51.0
719,51.0
720,52.0
721,53.0
722,52.0
723,51.0
724,51.0
725,51.0
726,50.0
727,51.0
728,51.0
729,52.0
730,53.0
731,52.0
732,53.0
733,53.0
734,53.0
735,52.0
736,51.0
737,51.0
738,51.0
739,51.0
740,51.0
741,50.0
742,51.0
743,52.0
744,52.0
745,52.0
746,53.0
747,54.0
748,54.0
749,54.0
750,55.00000000000001
751,55.00000000000001
752,55.00000000000001
753,55.00000000000001
754,55.00000000000001
755,54.0
756,54.0
757,55.00000000000001
758,55.00000000000001
759,56.00000000000001
760,56.00000000000001
761,56.00000000000001
762,56.99999999999999
763,57.99999999999999
764,57.99999999999999
765,57.99999999999999
766,56.99999999999999
767,57.99999999999999
768,57.99999999999999
769,56.99999999999999
770,56.00000000000001
771,55.00000000000001
772,55.00000000000001
773,55.00000000000001
774,56.00000000000001
775,56.99999999999999
776,56.99999999999999
777,56.99999999999999
778,56.99999999999999
779,57.99999999999999
780,56.99999999999999
781,56.00000000000001
782,56.00000000000001
783,56.00000000000001
784,56.99999999999999
785,57.99999999999999
786,56.99999999999999
787,56.99999999999999
788,57.99999999999999
789,59.0
790,60.0
791,61.0
792,62.0
793,63.0
794,62.0
795,63.0
796,64.0
797,64.0
798,63.0
799,62.0
800,62.0
801,62.0
802,62.0
803,62.0
804,61.0
805,60.0
806,60.0
807,60.0
808,60.0
809,59.0
810,57.99999999999999
811,57.99999999999999
812,59.0
813,60.0
814,60.0
815,60.0
816,59.0
817,59.0
818,59.0
819,57.99999999999999
820,56.99999999999999
821,56.00000000000001
822,56.99999999999999
823,56.99999999999999
824,56.00000000000001
825,56.00000000000001
826,56.00000000000001
827,55.00000000000001
828,55.00000000000001
829,54.0
830,54.0
831,55.00000000000001
832,54.0
833,54.0
834,54.0
835,54.0
836,54.0
837,53.0
838,52.0
839,52.0
840,51.0
841,51.0
842,50.0
843,50.0
844,50.0
845,50.0
846,49.0
847,48.0
848,47.0
849,47.0
850,47.0
851,46.0
852,46.0
853,46.0
854,46.0
855,47.0
856,47.0
857,46.0
858,46.0
859,46.0
860,46.0
861,46.0
862,45.0
863,44.0
864,44.0
865,45.0
866,45.0
867,45.0
868,44.0
869,44.0
870,44.0
871,44.0
872,44.0
873,44.0
874,44.0
875,43.0
876,43.0
877,44.0
878,44.0
879,44.0
880,45.0
881,46.0
882,46.0
883,46.0
884,45.0
885,45.0
886,46.0
887,47.0
888,47.0
889,47.0
890,47.0
891,47.0
892,47.0
893,47.0
894,47.0
895,46.0
896,45.0
897,45.0
898,46.0
899,46.0
900,45.0
901,44.0
902,44.0
903,43.0
904,43.0
905,43.0
906,43.0
907,43.0
908,42.0
909,42.0
910,42.0
911,42.0
912,41.0
913,40.0
914,40.0
915,39.0
916,40.0
917,39.0
918,39.0
919,39.0
920,40.0
921,41.0
922,41.0
923,42.0
924,43.0
925,43.0
926,44.0
927,45.0
928,45.0
929,45.0
930,44.0
931,43.0
932,43.0
933,42.0
934,42.0
935,42.0
936,42.0
937,42.0
938,42.0
939,41.0
940,41.0
941,41.0
942,41.0
943,40.0
944,41.0
945,41.0
946,42.0
947,43.0
948,43.0
949,43.0
950,43.0
951,44.0
952,44.0
953,44.0
954,44.0
955,44.0
956,43.0
957,44.0
958,45.0
959,45.0
960,45.0
961,44.0
962,45.0
963,46.0
964,47.0
965,47.0
966,47.0
967,46.0
968,47.0
969,47.0
970,47.0
971,48.0
972,49.0
973,50.0
974,49.0
975,49.0
976,49.0
977,49.0
978,49.0
979,49.0
980,49.0
981,48.0
982,48.0
983,47.0
984,47.0
985,46.0
986,45.0
987,45.0
988,44.0
989,43.0
990,43.0
991,42.0
992,41.0
993,40.0
994,41.0
995,42.0
996,43.0
997,43.0
998,43.0
999,43.0
1000,44.0
