Position in alignment,PP711921 - NC_003987,PP711921 - OQ818329,NC_003987 - OQ818329
4360,6,0,93
4380,4,6,90
4400,5,23,72
4420,4,68,28
4440,5,59,36
4460,9,77,13
4480,4,87,9
4500,4,87,9
4520,0,95,5
4540,0,100,0
4560,1,99,0
4580,1,99,0
4600,0,96,4
4620,0,93,7
4640,0,92,8
4660,0,86,14
4680,0,96,4
4700,0,96,4
4720,2,92,6
4740,0,99,1
4760,0,100,0
4780,0,98,2
4800,0,100,0
4820,0,98,2
4840,0,100,0
4860,0,100,0
4880,0,100,0
4900,0,100,0
4920,0,100,0
4940,0,100,0
4960,0,99,0
4980,0,100,0
5000,0,98,0
5020,0,99,0
5040,0,99,0
5060,0,78,1
5080,0,1,0
5100,93,0,0
5120,81,1,9
5140,30,12,44
5160,4,19,74
5180,10,11,75
5200,2,17,78
5220,0,17,82
5240,4,44,52
5260,1,51,48
5280,0,85,15
5300,0,79,19
5320,0,94,3
5340,0,86,14
5360,0,93,7
5380,0,73,27
5400,0,90,10
5420,1,95,4
5440,0,91,9
5460,0,95,5
5480,0,97,2
5500,0,92,8
5520,0,93,7
5540,0,91,9
5560,1,91,7
5580,0,100,0
5600,0,100,0
5620,0,99,0
5640,1,99,0
5660,0,100,0
5680,0,100,0
5700,1,99,0
5720,0,100,0
5740,0,100,0
5760,0,100,0
5780,0,100,0
5800,0,100,0
5820,0,100,0
5840,0,100,0
5860,0,100,0
5880,0,100,0
5900,0,100,0
5920,0,100,0
5940,0,100,0
5960,0,100,0
5980,0,100,0
6000,0,100,0
6020,0,100,0
6040,0,98,2
6060,0,98,2
6080,0,98,2
6100,0,100,0
6120,0,97,3
6140,0,93,5
6160,0,92,7
6180,0,92,7
6200,0,88,8
6220,0,96,2
6240,0,88,6
6260,2,91,5
6280,3,75,18
6300,2,91,6
6320,0,98,1
6340,0,92,6
6360,2,89,5
6380,0,100,0
6400,0,100,0
6420,5,90,3
6440,2,96,1
6460,0,99,0
6480,0,100,0
6500,0,100,0
6520,0,100,0
6540,0,100,0
6560,0,100,0
6580,0,95,3
6600,0,97,2
6620,0,99,1
6640,0,100,0
6660,0,100,0
6680,0,99,1
6700,0,99,1
6720,0,99,0
6740,0,99,1
6760,0,100,0
6780,0,98,2
6800,0,93,7
6820,0,91,9
6840,2,88,10
6860,1,83,16
6880,0,87,13
6900,0,97,3
6920,0,75,24
6940,0,95,0
6960,19,80,0
6980,7,93,0
7000,12,88,0
7020,11,89,0
7040,7,92,0
7060,13,86,1
7080,2,98,0
7100,2,97,1
7120,0,100,0
7140,0,100,0
7160,0,100,0
7180,0,85,15
7200,1,88,11
7220,0,95,5
7240,0,91,7
7260,1,81,17
7280,5,18,71
7300,8,0,21
7320,1,4,34
7340,0,5,19
7360,0,8,12
7380,1,11,63
7400,0,8,59
7420,0,12,63
7440,0,10,60
7460,1,13,50
7480,2,16,64
7500,3,13,79
7520,16,8,68
7540,43,0,53
7560,23,0,57
7580,53,0,14
7600,60,0,13
7620,55,0,14
7640,49,0,17
7660,47,0,14
7680,0,0,0
7700,0,0,0
7720,0,0,0
7740,0,19,5
7760,5,43,30
7780,2,37,33
7800,2,51,23
7820,3,49,20
7840,1,40,30
7860,1,52,18
7880,3,53,16
7900,1,73,15
7920,1,67,21
7940,0,60,26
7960,0,65,9
7980,0,69,12
8000,0,66,14
8020,1,68,12
8040,0,59,13
8060,16,34,39
8080,19,33,42
8100,14,0,19
8120,22,0,6
