pointer,Rhinolophus_kobuvirus - NC_034971.1,Rhinolophus_kobuvirus - OQ818322,NC_034971.1 - OQ818322
6760,74,21,0
6780,85,10,0
6800,94,6,0
6820,71,19,2
6840,85,10,2
6860,75,19,0
6880,86,7,2
6900,77,13,2
6920,83,5,4
6940,74,15,3
6960,33,55,0
6980,27,62,0
7000,52,41,0
7020,37,56,0
7040,40,54,0
7060,68,28,0
7080,44,45,0
7100,71,27,0
7120,54,38,0
7140,82,14,0
7160,96,2,0
7180,92,4,0
7200,88,9,0
7220,99,1,0
7240,100,0,0
7260,92,5,0
7280,88,10,0
7300,81,16,0
7320,86,11,0
7340,79,13,0
7360,55,32,0
7380,41,54,0
7400,43,43,4
7420,50,39,1
7440,81,9,3
7460,92,5,0
7480,99,1,0
7500,92,3,0
7520,95,3,0
7540,93,4,0
7560,98,2,0
7580,100,0,0
7600,99,1,0
7620,97,3,0
7640,97,2,0
7660,95,4,0
7680,91,6,0
7700,87,12,0
7720,85,9,0
7740,95,3,0
7760,93,4,0
7780,77,16,1
7800,76,15,1
7820,77,15,2
7840,26,64,4
7860,24,62,2
7880,20,65,9
7900,24,62,3
7920,18,69,9
7940,10,70,12
7960,8,77,8
7980,8,86,1
8000,1,94,0
8020,2,94,1
8040,50,39,0
8060,31,56,0
8080,56,43,0
8100,53,46,1
8120,47,52,0
8140,76,24,0
8160,98,2,0
8180,99,1,0
8200,100,0,0
8220,100,0,0
8240,100,0,0
8260,100,0,0
8280,100,0,0
8300,97,0,3
8320,97,0,3
8340,68,0,32
8360,11,0,89
8380,6,0,94
8400,0,0,100
8420,0,0,100
8440,0,0,100
8460,0,0,100
8480,0,0,100
8500,0,0,99
8520,0,0,86
