Position in alignment,OQ818320 - PP711943,OQ818320 - NC_033820,PP711943 - NC_033820
3540,2,14,74
3560,6,2,85
3580,9,7,64
3600,8,0,85
3620,0,0,100
3640,0,0,99
3660,2,0,96
3680,1,1,97
3700,1,0,96
3720,0,0,97
3740,3,2,90
3760,2,1,93
3780,0,0,97
3800,12,3,76
3820,8,4,83
3840,35,6,44
3860,18,10,50
3880,14,0,79
3900,6,1,87
3920,18,2,64
3940,3,1,91
3960,9,0,84
3980,17,5,59
4000,9,2,80
4020,11,3,77
4040,9,0,81
4060,5,12,81
4080,1,23,68
4100,12,18,53
4120,4,17,63
4140,4,21,58
4160,1,31,59
4180,3,32,49
4200,7,33,48
4220,16,32,34
4240,15,20,49
4260,20,2,70
4280,18,6,63
4300,22,7,58
4320,21,22,47
4340,32,14,36
4360,54,4,32
4380,42,2,37
4400,31,6,52
4420,13,3,76
4440,17,10,61
4460,39,5,37
4480,20,26,42
4500,16,35,27
4520,9,8,79
4540,2,5,88
4560,1,9,87
4580,0,11,79
4600,3,20,66
4620,4,13,77
4640,0,4,92
4660,0,5,92
4680,0,0,97
4700,4,1,90
4720,16,1,77
4740,27,0,59
4760,7,0,86
4780,1,0,99
4800,0,0,99
4820,7,0,90
4840,10,1,81
4860,6,8,80
4880,3,4,88
4900,2,1,90
4920,0,0,99
4940,1,0,98
4960,0,2,96
4980,0,1,97
5000,0,4,94
5020,0,1,98
5040,0,3,96
5060,0,0,100
5080,0,0,100
5100,0,0,99
5120,1,3,91
5140,2,7,83
5160,0,12,75
5180,2,12,76
5200,3,15,75
5220,2,5,90
5240,0,9,81
5260,1,10,81
5280,0,33,52
5300,0,20,68
5320,0,3,94
5340,0,7,88
5360,0,33,58
5380,0,20,72
5400,0,42,48
5420,0,57,37
5440,0,60,22
5460,0,82,14
5480,0,92,4
5500,0,98,2
5520,0,99,0
5540,0,100,0
5560,0,100,0
5580,1,96,0
5600,0,99,0
5620,1,97,0
5640,0,99,1
5660,0,100,0
5680,0,97,1
5700,17,71,3
5720,14,86,0
5740,30,55,3
5760,4,85,7
5780,10,72,6
5800,14,61,10
5820,8,50,29
5840,14,48,24
5860,14,13,58
5880,30,14,42
5900,6,8,80
5920,0,0,98
5940,0,1,97
5960,0,0,100
5980,1,0,99
6000,4,0,91
6020,7,0,87
6040,13,0,81
6060,16,0,78
6080,11,5,75
6100,22,18,46
6120,23,30,27
6140,18,32,33
6160,35,34,14
6180,24,47,11
6200,25,58,9
6220,8,74,9
6240,14,65,12
6260,8,70,11
6280,12,46,35
6300,5,36,49
6320,2,46,32
6340,5,65,21
6360,0,68,24
6380,0,82,14
6400,0,70,20
6420,0,84,13
6440,0,82,11
6460,0,87,8
6480,0,78,15
6500,0,86,10
6520,1,88,8
6540,0,94,5
6560,1,98,1
6580,6,87,2
6600,4,94,0
6620,2,93,0
6640,1,98,1
6660,0,96,1
6680,0,100,0
6700,0,98,1
6720,0,98,2
6740,0,98,1
6760,0,92,4
6780,0,94,3
6800,2,96,1
6820,8,78,5
6840,29,43,15
6860,9,46,31
6880,5,34,47
6900,4,48,34
6920,2,33,54
6940,5,49,35
6960,0,67,24
6980,0,92,5
7000,0,77,17
7020,0,92,5
7040,0,100,0
7060,0,100,0
7080,0,99,1
7100,0,100,0
7120,0,99,0
7140,0,99,0
7160,0,96,1
7180,0,90,7
7200,0,95,2
7220,0,98,0
7240,0,92,3
7260,0,91,5
7280,0,94,5
7300,0,94,3
7320,0,97,3
7340,0,87,5
7360,1,61,24
7380,0,56,29
7400,0,64,30
7420,1,48,39
7440,6,32,42
7460,2,39,46
7480,0,54,30
7500,2,86,2
7520,0,93,3
7540,0,99,0
7560,0,100,0
7580,0,100,0
7600,0,96,1
7620,0,99,0
7640,0,99,0
7660,0,99,0
7680,0,100,0
7700,0,97,2
7720,0,96,3
7740,0,94,1
7760,1,84,10
7780,2,91,2
7800,4,90,3
7820,15,71,2
7840,0,98,1
7860,2,93,0
7880,41,44,0
7900,53,32,0
7920,66,21,0
7940,53,27,0
7960,65,21,0
7980,77,8,2
8000,67,19,4
8020,52,26,8
8040,72,5,10
8060,67,6,16
8080,43,0,36
8100,48,0,38
8120,44,0,42
8140,38,0,47
8160,0,0,64
