Position in alignment,PP711909 - PP711912,PP711909 - PV788825,PP711912 - PV788825
6820,68,16,6
6840,46,39,3
6860,89,7,1
6880,100,0,0
6900,99,1,0
6920,99,0,0
6940,100,0,0
6960,100,0,0
6980,100,0,0
7000,99,1,0
7020,100,0,0
7040,100,0,0
7060,99,1,0
7080,80,14,1
7100,74,15,3
7120,74,23,1
7140,75,21,1
7160,57,25,10
7180,68,15,10
7200,67,29,0
7220,48,46,0
7240,60,30,4
7260,36,51,4
7280,37,47,9
7300,24,51,14
7320,31,40,16
7340,37,45,8
7360,59,19,16
7380,21,40,32
7400,4,29,56
7420,16,24,53
7440,50,15,23
7460,51,8,29
7480,96,0,3
7500,93,1,5
7520,96,1,1
7540,95,0,5
7560,85,1,10
7580,88,2,9
7600,75,8,11
7620,56,15,22
7640,48,13,27
7660,34,5,56
7680,0,18,73
7700,0,25,68
7720,3,23,69
7740,9,34,49
7760,35,21,33
7780,46,10,36
7800,67,10,14
7820,73,16,8
7840,57,29,7
7860,65,26,0
7880,81,14,4
7900,59,33,1
7920,22,69,5
7940,7,66,18
7960,19,35,34
7980,28,19,46
8000,34,19,36
8020,18,22,49
8040,6,58,29
8060,4,60,31
8080,2,75,22
8100,9,75,15
8120,3,77,19
8140,5,72,20
8160,5,90,5
8180,0,97,2
8200,0,98,0
8220,0,93,7
8240,0,57,40
8260,0,64,35
8280,0,52,47
8300,0,30,66
