Position in alignment,PP766469 - PP745912,PP766469 - OQ818325,PP745912 - OQ818325
6820,1,97,2
6840,3,96,1
6860,2,98,0
6880,0,100,0
6900,1,99,0
6920,0,100,0
6940,0,100,0
6960,0,100,0
6980,0,100,0
7000,0,100,0
7020,0,99,0
7040,0,100,0
7060,3,96,0
7080,2,96,0
7100,0,100,0
7120,8,92,0
7140,10,89,0
7160,12,85,0
7180,12,86,1
7200,19,63,6
7220,28,61,1
7240,36,52,6
7260,8,84,1
7280,7,80,8
7300,19,64,15
7320,3,94,1
7340,1,86,10
7360,3,83,8
7380,14,80,3
7400,6,88,2
7420,8,85,1
7440,3,95,1
7460,7,86,3
7480,6,80,11
7500,3,67,27
7520,1,62,28
7540,1,94,4
7560,1,78,18
7580,1,87,8
7600,0,61,30
7620,0,81,16
7640,0,96,2
7660,0,68,27
7680,0,85,10
7700,1,83,14
7720,0,95,3
7740,0,95,5
7760,0,99,1
7780,0,99,1
7800,0,99,1
7820,0,100,0
7840,0,92,7
7860,0,97,3
7880,0,99,1
7900,0,95,3
7920,0,38,6
7940,0,0,0
7960,0,0,0
7980,0,0,0
8000,0,0,0
8020,0,0,0
8040,0,0,0
8060,0,0,0
8080,0,0,0
8100,0,0,0
8120,0,0,0
8140,0,0,0
8160,0,0,0
8180,0,0,0
8200,0,0,0
8220,0,0,0
8240,0,0,0
8260,0,0,0
8280,0,0,0
8300,0,0,0
8320,0,0,0
8340,0,0,0
8360,0,0,0
8380,0,0,0
8400,0,0,0
8420,0,0,0
8440,0,0,0
8460,0,0,0
8480,0,0,0
8500,0,0,0
