Position in alignment,PP766469 - PP745912,PP766469 - OQ818328,PP745912 - OQ818328
6820,1,94,5
6840,3,94,3
6860,1,99,0
6880,1,99,0
6900,0,100,0
6920,0,100,0
6940,0,99,1
6960,0,100,0
6980,1,98,0
7000,0,98,1
7020,0,98,0
7040,0,98,2
7060,1,94,4
7080,3,92,2
7100,0,99,0
7120,10,87,1
7140,17,79,0
7160,22,75,0
7180,15,75,6
7200,15,66,12
7220,28,63,5
7240,20,60,15
7260,3,83,8
7280,2,86,9
7300,5,72,21
7320,0,97,1
7340,0,90,8
7360,0,87,11
7380,1,94,4
7400,1,98,0
7420,2,96,0
7440,2,97,0
7460,1,93,1
7480,2,96,1
7500,0,91,6
7520,2,86,4
7540,4,96,0
7560,3,95,1
7580,0,99,1
7600,0,98,2
7620,0,99,1
7640,0,100,0
7660,0,96,4
7680,0,97,3
7700,0,99,1
7720,0,98,0
7740,0,99,0
7760,0,99,1
7780,0,100,0
7800,0,100,0
7820,0,100,0
7840,0,98,2
7860,0,100,0
7880,0,100,0
7900,0,98,0
7920,0,42,0
7940,0,0,0
7960,2,91,0
7980,0,98,1
8000,0,99,1
8020,0,100,0
8040,0,100,0
8060,0,100,0
8080,0,100,0
8100,0,100,0
8120,0,100,0
8140,0,100,0
8160,0,100,0
8180,0,100,0
8200,0,100,0
8220,0,100,0
8240,1,99,0
8260,0,100,0
8280,0,99,0
8300,8,87,4
8320,1,97,2
8340,0,98,2
8360,0,97,0
8380,30,58,0
8400,0,0,0
8420,0,0,0
8440,0,0,0
8460,0,0,0
8480,0,0,0
8500,0,0,0
