pointer,NC_028981 - PP766455,NC_028981 - NC_028366,PP766455 - NC_028366
6820,0,0,100
6840,0,0,100
6860,0,0,99
6880,4,0,96
6900,3,0,96
6920,1,0,98
6940,0,0,99
6960,0,0,100
6980,0,0,99
7000,4,0,93
7020,0,4,94
7040,1,0,99
7060,0,2,98
7080,0,0,100
7100,0,0,100
7120,0,0,100
7140,1,0,99
7160,2,0,98
7180,1,0,99
7200,0,0,100
7220,2,0,96
7240,16,0,81
7260,21,0,70
7280,15,0,83
7300,12,0,86
7320,19,1,78
7340,10,1,86
7360,7,4,85
7380,7,4,87
7400,8,26,61
7420,2,2,95
7440,0,3,95
7460,1,5,89
7480,4,17,76
7500,0,12,82
7520,2,7,85
7540,0,29,65
7560,3,14,78
7580,7,7,85
7600,5,4,91
7620,4,13,83
7640,4,11,83
7660,1,3,95
7680,0,4,96
7700,2,1,97
7720,2,2,95
7740,3,0,97
7760,0,0,100
7780,1,1,97
7800,0,0,99
7820,2,0,90
7840,0,0,98
7860,0,0,0
7880,0,0,0
7900,0,0,0
7920,0,0,0
7940,0,0,0
