Position in alignment,OQ818324 - PP711934,OQ818324 - OQ818323,PP711934 - OQ818323
4180,9,2,84
4200,7,39,48
4220,10,39,38
4240,12,34,45
4260,7,11,71
4280,2,25,67
4300,1,20,71
4320,1,17,77
4340,2,6,89
4360,2,17,79
4380,4,17,75
4400,2,2,95
4420,1,1,98
4440,1,1,95
4460,0,0,100
4480,0,2,98
4500,0,0,100
4520,2,1,97
4540,0,0,100
4560,1,0,99
4580,0,0,100
4600,0,0,100
4620,0,0,100
4640,1,0,99
4660,2,0,96
4680,0,0,99
4700,1,0,98
4720,0,0,100
4740,0,0,100
4760,0,0,100
4780,0,0,100
4800,0,0,100
4820,0,0,100
4840,0,0,100
4860,0,1,99
4880,0,0,100
4900,0,2,98
4920,0,1,99
4940,0,1,99
4960,0,2,96
4980,6,10,77
5000,2,0,97
5020,2,8,88
5040,7,7,81
5060,1,0,98
5080,0,0,99
5100,3,0,97
5120,0,0,100
5140,1,0,98
5160,0,0,99
5180,1,0,99
5200,1,0,98
5220,4,0,95
5240,6,0,92
5260,6,0,91
5280,45,0,46
5300,44,1,47
5320,54,0,41
5340,73,0,21
5360,39,0,56
5380,35,0,59
5400,24,0,69
5420,12,0,85
5440,2,0,97
5460,1,0,99
5480,1,0,99
5500,0,0,100
5520,0,0,100
5540,0,0,99
5560,0,0,100
5580,0,0,100
5600,0,0,100
5620,0,0,100
5640,0,0,100
5660,0,0,100
5680,0,0,100
5700,0,0,100
5720,0,0,100
5740,0,0,100
5760,1,0,99
5780,0,0,99
5800,2,0,98
5820,2,0,98
5840,1,0,99
5860,3,0,94
5880,2,0,98
5900,0,0,100
5920,7,0,91
5940,2,0,97
5960,0,0,99
5980,0,0,99
6000,0,0,100
6020,0,1,98
6040,0,0,100
6060,0,0,100
6080,0,0,100
6100,0,0,100
6120,0,0,100
6140,0,0,100
6160,1,0,99
6180,0,0,100
6200,0,0,99
6220,11,0,84
6240,7,1,90
6260,45,1,48
6280,42,0,53
6300,24,0,70
6320,25,0,71
6340,7,0,91
6360,20,0,77
6380,9,0,85
6400,11,0,84
6420,2,0,97
6440,0,0,98
6460,0,0,100
6480,0,0,100
6500,4,2,92
6520,2,3,95
6540,4,4,90
6560,1,0,96
6580,3,0,96
6600,1,0,98
6620,2,0,97
6640,10,0,88
6660,4,0,92
6680,3,0,97
6700,0,0,100
6720,0,0,100
6740,0,0,100
6760,0,0,100
6780,0,0,100
6800,0,0,100
6820,0,0,100
6840,0,0,100
6860,0,0,100
6880,0,0,100
6900,0,0,100
6920,0,0,100
6940,0,0,100
6960,0,0,100
6980,0,0,100
7000,0,0,100
7020,0,0,100
7040,0,0,98
7060,0,0,100
7080,1,0,99
7100,0,0,100
7120,7,1,90
7140,3,0,97
7160,0,0,100
7180,0,0,100
7200,2,0,98
7220,0,0,98
7240,1,0,99
7260,2,0,96
7280,6,1,91
7300,5,17,76
7320,1,0,99
7340,14,2,79
7360,0,0,83
7380,0,0,0
7400,0,0,0
7420,0,0,0
7440,0,0,0
7460,0,0,0
7480,0,0,0
7500,0,0,0
7520,0,0,0
7540,0,0,0
7560,0,0,0
7580,0,0,0
7600,0,0,0
