Position in alignment,PP766459 - OQ709197,PP766459 - OP963623,OQ709197 - OP963623
6820,1,95,4
6840,5,82,13
6860,2,94,3
6880,3,92,5
6900,6,77,17
6920,9,82,9
6940,21,69,10
6960,18,31,50
6980,5,62,32
7000,4,26,70
7020,14,38,48
7040,10,27,62
7060,12,26,62
7080,5,67,28
7100,2,75,21
7120,2,83,14
7140,4,86,9
7160,2,98,0
7180,3,92,4
7200,0,98,0
7220,0,97,2
7240,4,87,6
7260,0,78,22
7280,5,50,43
7300,6,56,37
7320,8,22,69
7340,4,37,56
7360,13,3,84
7380,17,3,79
7400,12,0,88
7420,9,2,89
7440,14,9,77
7460,23,34,43
7480,43,24,33
7500,16,37,47
7520,32,33,35
7540,4,73,23
7560,9,87,4
7580,2,98,0
7600,0,100,0
7620,3,96,1
7640,0,100,0
7660,0,100,0
7680,0,100,0
7700,3,97,0
7720,0,100,0
7740,3,96,1
7760,19,75,6
7780,27,61,10
7800,37,56,5
7820,9,85,5
7840,3,72,24
7860,12,57,26
7880,17,30,46
7900,14,43,35
7920,18,31,44
7940,14,41,38
7960,12,54,29
7980,15,41,41
8000,15,62,22
8020,11,33,54
8040,15,45,40
8060,26,31,43
8080,22,29,49
8100,26,24,50
8120,17,5,77
8140,15,19,66
8160,10,44,45
8180,7,24,68
8200,18,16,63
8220,44,11,40
8240,8,5,77
8260,6,1,78
