Pointer,OQ818320 - PP711943,OQ818320 - NC_033820,PP711943 - NC_033820
3560,6,2,87
3580,6,5,80
3600,1,0,96
3620,0,0,100
3640,0,0,100
3660,4,0,95
3680,1,1,95
3700,0,0,99
3720,0,0,96
3740,0,5,93
3760,1,2,90
3780,0,0,96
3800,13,3,74
3820,13,2,73
3840,34,10,46
3860,14,10,56
3880,10,2,80
3900,16,1,71
3920,19,1,76
3940,14,1,81
3960,8,1,82
3980,7,2,82
4000,12,1,79
4020,19,4,61
4040,2,0,92
4060,2,4,87
4080,1,20,66
4100,3,30,49
4120,3,26,55
4140,4,24,60
4160,1,32,52
4180,13,27,45
4200,2,31,52
4220,18,22,46
4240,16,44,21
4260,20,0,65
4280,20,9,65
4300,31,11,41
4320,19,14,48
4340,23,8,59
4360,53,1,32
4380,38,3,47
4400,39,4,44
4420,14,7,71
4440,6,7,81
4460,29,13,44
4480,29,21,42
4500,15,41,34
4520,10,8,74
4540,6,12,72
4560,2,7,86
4580,7,11,73
4600,2,15,71
4620,1,9,83
4640,3,9,83
4660,0,8,88
4680,0,0,98
4700,3,0,97
4720,11,0,79
4740,26,0,60
4760,15,0,80
4780,1,0,98
4800,1,0,99
4820,3,0,92
4840,5,0,88
4860,6,3,84
4880,3,2,90
4900,2,2,93
4920,0,1,97
4940,0,0,99
4960,0,3,96
4980,0,3,97
5000,0,7,86
5020,0,1,98
5040,0,0,97
5060,0,0,100
5080,0,0,99
5100,0,0,100
5120,0,5,95
5140,3,2,92
5160,4,6,85
5180,2,15,72
5200,3,10,75
5220,1,8,84
5240,0,5,90
5260,1,8,82
5280,1,37,45
5300,2,23,57
5320,2,3,89
5340,0,9,89
5360,0,10,77
5380,0,17,76
5400,0,54,34
5420,0,46,38
5440,0,74,17
5460,0,70,22
5480,0,91,5
5500,0,95,3
5520,0,100,0
5540,0,100,0
5560,0,100,0
5580,0,100,0
5600,1,96,1
5620,3,97,0
5640,0,100,0
5660,0,100,0
5680,4,90,0
5700,8,84,2
5720,11,77,1
5740,30,53,4
5760,8,81,9
5780,10,72,7
5800,7,71,16
5820,8,61,13
5840,16,47,25
5860,10,9,69
5880,26,10,53
5900,2,2,91
5920,0,0,99
5940,0,2,94
5960,0,0,99
5980,1,0,97
6000,7,0,91
6020,5,0,86
6040,18,1,73
6060,20,3,68
6080,5,10,76
6100,32,19,26
6120,32,31,18
6140,18,33,39
6160,30,38,16
6180,20,53,12
6200,15,75,3
6220,5,70,11
6240,4,74,14
6260,6,55,22
6280,3,43,42
6300,9,28,50
6320,2,49,46
6340,2,72,18
6360,0,67,27
6380,0,84,10
6400,0,65,29
6420,0,83,11
6440,0,88,6
6460,0,81,13
6480,0,86,9
6500,0,89,7
6520,1,93,4
6540,0,98,1
6560,1,94,0
6580,3,86,2
6600,1,91,4
6620,1,97,2
6640,1,94,2
6660,6,88,0
6680,4,93,3
6700,1,98,1
6720,0,97,1
6740,3,89,3
6760,0,95,0
6780,1,94,4
6800,5,82,3
6820,7,60,24
6840,13,56,21
6860,8,63,18
6880,2,50,40
6900,2,31,52
6920,1,38,49
6940,4,71,17
6960,0,77,17
6980,0,90,7
7000,0,89,9
7020,0,95,4
7040,0,99,1
7060,0,98,2
7080,0,100,0
7100,0,100,0
7120,0,99,1
7140,0,99,1
7160,0,98,1
7180,0,96,1
7200,0,95,4
7220,0,94,4
7240,0,98,1
7260,0,91,6
7280,0,82,12
7300,1,93,5
7320,0,95,3
7340,1,83,7
7360,0,44,44
7380,0,68,18
7400,0,59,29
7420,1,42,39
7440,6,35,41
7460,0,44,40
7480,2,59,20
7500,0,86,6
7520,0,80,11
7540,0,99,0
7560,0,100,0
7580,0,99,1
7600,0,97,2
7620,0,99,1
7640,0,99,1
7660,0,98,1
7680,0,97,2
7700,0,98,1
7720,0,97,2
7740,0,95,3
7760,2,73,12
7780,2,87,5
7800,2,90,3
7820,1,87,4
7840,2,91,0
7860,12,75,0
7880,62,26,0
7900,56,26,0
7920,60,26,0
7940,62,25,0
7960,74,13,0
7980,67,13,5
8000,66,14,3
8020,68,11,9
8040,73,5,11
8060,93,0,7
8080,38,0,46
8100,33,0,42
8120,43,0,40
8140,38,0,49
