Position in alignment,OQ818324 - r_aegypticus_africa,OQ818324 - OQ818323,r_aegypticus_africa - OQ818323
4300,19,0,70
4320,49,0,44
4340,35,0,57
4360,20,0,73
4380,17,0,80
4400,13,0,83
4420,19,0,70
4440,28,0,64
4460,13,0,78
4480,2,0,95
4500,7,0,90
4520,3,0,96
4540,4,0,95
4560,2,0,96
4580,2,0,96
4600,5,0,94
4620,0,0,100
4640,1,0,98
4660,1,0,97
4680,18,0,71
4700,6,0,94
4720,4,0,93
4740,5,0,90
4760,5,0,90
4780,2,0,96
4800,2,0,97
4820,3,0,97
4840,10,0,86
4860,1,0,97
4880,0,0,100
4900,1,0,99
4920,0,0,100
4940,1,0,98
4960,1,0,99
4980,3,0,97
5000,2,0,98
5020,1,0,98
5040,7,0,89
5060,2,0,93
5080,10,0,83
5100,8,0,87
5120,12,0,81
5140,10,0,85
5160,7,0,86
5180,6,0,92
5200,7,0,92
5220,2,0,92
5240,3,0,95
5260,5,0,92
5280,4,0,93
5300,4,0,95
5320,7,0,89
5340,38,0,55
5360,27,0,66
5380,38,0,50
5400,51,0,44
5420,39,0,50
5440,43,0,51
5460,49,0,39
5480,34,0,60
5500,23,0,69
5520,21,0,75
5540,10,0,88
5560,4,0,92
5580,5,0,92
5600,2,1,94
5620,3,1,94
5640,3,0,97
5660,0,0,100
5680,0,0,99
5700,0,0,99
5720,0,0,99
5740,0,0,99
5760,0,0,100
5780,0,0,100
5800,0,0,100
5820,1,0,99
5840,0,0,100
5860,5,0,93
5880,6,0,92
5900,17,0,75
5920,17,0,79
5940,15,0,78
5960,27,0,63
5980,39,0,53
6000,38,0,45
6020,22,0,70
6040,13,0,82
6060,20,0,70
6080,10,0,86
6100,10,0,85
6120,9,0,85
6140,2,0,98
6160,0,0,99
6180,0,0,100
6200,1,0,98
6220,9,0,83
6240,8,0,87
6260,17,0,78
6280,20,0,71
6300,33,0,60
6320,45,0,44
6340,90,0,6
6360,87,0,7
6380,67,0,24
6400,58,0,28
6420,35,0,52
6440,42,0,43
6460,22,0,67
6480,41,0,48
6500,20,0,72
6520,17,0,74
6540,4,0,96
6560,3,0,97
6580,18,0,79
6600,14,0,82
6620,26,0,67
6640,31,0,62
6660,6,0,88
6680,18,0,72
6700,22,0,70
6720,14,0,76
6740,41,0,46
6760,38,0,47
6780,4,0,92
6800,12,0,79
6820,4,0,95
6840,2,0,96
6860,4,0,91
6880,0,0,99
6900,1,0,98
6920,1,0,99
6940,0,0,99
6960,5,0,91
6980,7,0,89
7000,1,0,94
7020,0,0,97
7040,9,0,87
7060,5,0,93
7080,2,0,94
7100,1,0,98
7120,14,0,80
7140,1,0,99
7160,0,0,99
7180,1,0,96
7200,5,0,94
7220,1,0,99
7240,1,0,99
7260,2,0,96
7280,7,1,88
7300,7,27,63
7320,0,44,55
7340,0,92,8
7360,0,100,0
7380,0,100,0
7400,0,100,0
7420,0,100,0
7440,0,100,0
7460,0,100,0
7480,0,100,0
7500,0,100,0
7520,0,100,0
7540,0,100,0
7560,0,100,0
7580,0,100,0
7600,0,100,0
7620,1,99,0
7640,2,98,0
7660,22,66,6
7680,0,0,0
7700,0,0,1
