Position in alignment,rhinolophus_BtSY4 - OQ818325,rhinolophus_BtSY4 - PP766469,OQ818325 - PP766469
6780,88,8,0
6800,93,3,1
6820,90,4,0
6840,92,4,0
6860,77,17,0
6880,67,24,5
6900,36,52,3
6920,52,37,5
6940,38,51,7
6960,40,46,8
6980,11,52,28
7000,6,66,27
7020,8,50,37
7040,14,64,11
7060,43,18,33
7080,80,10,6
7100,85,5,10
7120,84,8,4
7140,67,9,22
7160,32,40,19
7180,28,54,13
7200,38,49,5
7220,66,19,5
7240,82,14,1
7260,74,19,1
7280,71,17,3
7300,69,22,4
7320,73,23,1
7340,74,22,0
7360,85,6,6
7380,98,1,1
7400,98,1,0
7420,89,6,1
7440,89,7,1
7460,78,17,0
7480,81,13,0
7500,57,32,1
7520,38,53,0
7540,39,52,0
7560,56,35,0
7580,14,81,2
7600,16,76,2
7620,6,76,14
7640,12,57,28
7660,3,43,54
7680,1,22,76
7700,16,11,70
7720,18,6,71
7740,17,13,67
7760,22,7,65
7780,42,10,42
7800,30,4,65
7820,30,10,58
7840,35,15,44
7860,27,23,47
7880,13,37,39
7900,3,6,91
7920,0,7,93
7940,0,5,95
7960,0,7,93
7980,0,8,91
8000,0,22,78
8020,0,20,80
8040,0,4,96
8060,0,14,86
8080,0,5,95
8100,0,7,93
8120,0,5,95
8140,0,0,0
8160,0,0,0
8180,0,0,0
8200,0,0,0
8220,0,0,0
8240,0,0,0
8260,0,0,0
8280,0,0,0
8300,0,0,0
8320,0,0,0
8340,0,0,0
8360,0,0,0
8380,0,0,0
8400,0,0,0
8420,0,0,0
8440,0,0,0
8460,0,0,0
8480,0,0,0
8500,0,0,0
8520,0,0,0
8540,0,0,0
8560,0,0,0
8580,0,0,0
8600,0,0,0
8620,0,0,0
8640,0,0,0
