pointer,Bat_picornavirus_3 - OQ818328,Bat_picornavirus_3 - PP766469,OQ818328 - PP766469
3660,1,0,99
3680,0,1,99
3700,0,2,97
3720,12,2,86
3740,12,7,77
3760,20,11,68
3780,1,2,97
3800,0,0,100
3820,0,8,92
3840,2,7,91
3860,5,13,82
3880,3,7,90
3900,2,1,97
3920,1,0,99
3940,1,2,97
3960,1,0,99
3980,0,0,100
4000,1,0,99
4020,0,0,100
4040,0,0,100
4060,0,0,100
4080,0,0,100
4100,3,0,97
4120,0,0,100
4140,0,0,100
4160,1,0,99
4180,2,0,98
4200,0,0,100
4220,0,0,100
4240,3,0,97
4260,5,0,95
4280,0,0,100
4300,0,0,100
4320,0,0,100
4340,0,0,100
4360,0,0,100
4380,0,0,100
4400,0,0,100
4420,0,0,100
4440,0,0,100
4460,0,0,100
4480,0,0,100
4500,0,0,100
4520,0,0,100
4540,0,0,100
4560,0,0,100
4580,0,0,100
4600,0,0,100
4620,2,0,98
4640,0,0,100
4660,9,1,89
4680,9,0,91
4700,29,2,67
4720,12,20,65
4740,32,31,31
4760,36,19,37
4780,57,36,0
4800,39,50,6
4820,48,38,9
4840,19,67,9
4860,35,30,30
4880,20,30,50
4900,24,36,39
4920,39,4,56
4940,28,16,53
4960,17,4,78
4980,11,4,83
5000,16,7,77
5020,14,35,44
5040,31,18,39
5060,21,38,36
5080,19,28,50
5100,22,34,37
5120,31,45,16
5140,37,49,5
5160,70,22,0
5180,68,27,0
5200,67,26,0
5220,79,16,0
5240,71,19,0
5260,71,14,0
5280,67,28,0
5300,65,29,0
5320,69,24,0
5340,61,26,7
5360,35,43,7
5380,56,28,6
5400,64,6,27
5420,46,7,43
5440,25,8,66
5460,21,12,65
5480,32,32,31
5500,42,33,18
5520,74,11,11
5540,73,20,3
5560,78,11,9
5580,40,1,58
5600,31,20,46
5620,38,27,27
5640,40,18,38
5660,57,4,37
5680,60,3,35
5700,43,2,54
5720,27,8,62
5740,3,2,94
5760,19,16,61
5780,59,27,7
5800,88,9,3
5820,98,1,1
5840,75,14,11
5860,87,13,0
5880,82,17,1
5900,76,22,1
5920,82,15,3
5940,88,6,6
5960,75,6,19
5980,93,3,4
6000,69,4,24
6020,39,22,37
6040,73,2,23
6060,69,4,25
6080,67,3,29
6100,68,13,14
6120,67,11,19
6140,77,9,11
6160,45,23,28
6180,4,31,64
6200,4,25,67
6220,2,40,57
6240,7,55,37
6260,10,40,48
6280,33,44,21
6300,42,16,38
6320,55,19,21
6340,48,12,38
6360,49,21,26
6380,83,12,0
6400,82,14,0
6420,87,9,0
6440,89,7,0
6460,73,14,5
6480,52,24,23
6500,24,55,16
6520,59,26,11
6540,51,36,4
6560,91,4,3
6580,75,16,1
6600,82,8,8
6620,69,12,13
6640,86,10,1
6660,89,8,1
6680,69,21,0
6700,72,17,0
6720,86,9,2
6740,84,10,0
6760,41,46,2
6780,54,33,6
6800,31,55,1
6820,53,38,1
6840,74,18,1
6860,83,11,1
6880,95,2,1
6900,100,0,0
6920,98,1,0
6940,100,0,0
6960,97,0,0
6980,84,7,1
7000,100,0,0
7020,98,1,0
7040,87,7,1
7060,66,27,0
7080,60,30,1
7100,53,36,0
7120,58,35,3
7140,23,64,4
7160,39,53,3
7180,64,17,16
7200,26,50,18
7220,25,48,17
7240,33,48,10
7260,39,26,31
7280,28,29,36
7300,34,27,33
7320,19,63,11
7340,61,21,6
7360,74,19,2
7380,61,27,0
7400,67,29,0
7420,63,27,0
7440,65,28,1
7460,64,22,5
7480,67,19,5
7500,73,18,2
7520,35,50,5
7540,64,22,2
7560,66,23,5
7580,37,17,38
7600,33,43,14
7620,29,52,6
7640,19,64,6
7660,24,69,2
7680,19,72,2
7700,7,80,5
7720,11,76,9
7740,2,79,15
7760,0,87,13
7780,0,94,6
7800,0,37,63
7820,0,36,63
7840,1,7,91
7860,0,10,89
7880,1,22,73
7900,7,21,68
7920,9,12,79
7940,13,2,85
7960,16,0,83
7980,3,0,97
8000,16,2,81
8020,33,5,62
8040,31,0,69
8060,9,4,87
8080,9,0,91
8100,28,0,72
8120,13,0,86
8140,15,0,85
8160,10,0,90
8180,38,2,60
8200,30,1,69
8220,24,0,75
8240,42,5,51
8260,80,0,20
8280,70,0,30
8300,5,0,95
8320,9,0,90
8340,70,1,29
8360,24,1,75
8380,59,0,41
8400,43,0,57
8420,50,0,50
8440,41,0,59
8460,30,0,70
8480,42,0,58
8500,57,1,41
8520,70,6,23
8540,28,2,69
