pointer,R_leschenaulti_sapovirus - PP766459,R_leschenaulti_sapovirus - E_helvum_sapovirus,PP766459 - E_helvum_sapovirus
6420,0,23,77
6440,0,6,94
6460,0,2,98
6480,0,0,100
6500,0,2,98
6520,0,1,99
6540,0,0,100
6560,0,0,100
6580,0,3,97
6600,0,4,95
6620,0,6,94
6640,0,17,83
6660,0,19,81
6680,0,36,63
6700,0,74,25
6720,0,86,14
6740,0,91,7
6760,0,94,2
6780,0,96,3
6800,0,96,2
6820,0,94,4
6840,0,92,6
6860,0,87,6
6880,0,78,15
6900,0,90,9
6920,0,83,14
6940,0,93,6
6960,0,77,22
6980,0,70,26
7000,0,61,36
7020,0,39,61
7040,0,61,38
7060,0,76,23
7080,0,77,23
7100,0,44,56
7120,0,39,61
7140,0,45,53
7160,0,37,62
7180,0,30,66
7200,0,41,58
7220,0,46,53
7240,0,36,61
7260,0,19,81
7280,0,25,75
7300,0,32,68
7320,0,26,74
7340,0,43,57
7360,0,24,76
7380,0,30,69
7400,0,31,68
7420,0,44,56
7440,0,37,63
7460,3,11,86
7480,8,8,84
7500,21,12,67
7520,20,13,64
7540,6,16,76
7560,3,12,85
7580,2,3,95
7600,0,9,91
7620,0,3,97
7640,1,4,95
7660,0,1,99
7680,0,8,92
7700,1,2,97
7720,1,2,97
7740,0,1,98
7760,0,38,61
7780,1,50,47
7800,0,26,74
7820,0,45,54
7840,0,22,78
7860,1,38,60
7880,0,7,93
7900,1,37,62
