Accession,Isolate,Species,Genus,Family,Length,Nuc_Completeness,Country,Host,Collection_Date
HQ738288.1,V2-TOL cl1,Enterovirus C,Enterovirus,Picornaviridae,7445,complete,Madagascar,Homo sapiens,2005
JF416933.1,LM1677,Chimpanzee enterovirus CPS-2011,Enterovirus,Picornaviridae,1024,partial,Cameroon,Pan troglodytes,2006
JF416935.1,KK2640,Enterovirus D,Enterovirus,Picornaviridae,1051,partial,Cameroon,Pan troglodytes,2007
JF838278.2,PV1-RC2010-45,Enterovirus C,Enterovirus,Picornaviridae,7443,complete,Republic of the Congo,Homo sapiens,2010
JN800421.1,SAR/1/79,Cardiovirus A,Cardiovirus,Picornaviridae,3371,partial,South Africa,Sus scrofa,1979
JN800423.1,KNP/19/94,Cardiovirus A,Cardiovirus,Picornaviridae,3371,partial,South Africa,Loxodonta africana,1994
JN867756.1,,Cosavirus A,Cosavirus,Picornaviridae,6635,partial,Nigeria,Homo sapiens,2007
JN867757.1,,Human cosavirus E/D,Cosavirus,Picornaviridae,6752,partial,Nigeria,Homo sapiens,2007
JQ639290.1,ZIM/8/94,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,Zimbabwe,Bubalus bubalis,1994
JQ692595.1,KNP/196/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2238,partial,South Africa,Gallus gallus,07-Oct
JX014255.1,EGY/9/2012,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8134,complete,Egypt,,2012-02-29
JX275029.2,KNS07-06,Enterovirus C,Enterovirus,Picornaviridae,7433,complete,Nigeria,Homo sapiens,2007
JX275101.2,BOS08-01,Enterovirus C,Enterovirus,Picornaviridae,7438,complete,Nigeria,Homo sapiens,2008
JX307651.1,T08-235,Enterovirus A,Enterovirus,Picornaviridae,1399,partial,Chad,Homo sapiens,2008
JX417724.2,B4_C08-219,Enterovirus B,Enterovirus,Picornaviridae,7394,complete,Cameroon,Homo sapiens,2008
JX431302.1,111_TOK-230,Enterovirus D,Enterovirus,Picornaviridae,1512,partial,Cameroon,Homo sapiens,2008
JX437642.1,B1_TOK-322,Enterovirus B,Enterovirus,Picornaviridae,1256,partial,Cameroon,Homo sapiens,2009
JX569709.1,T08-090,Enterovirus C,Enterovirus,Picornaviridae,7439,complete,Chad,Homo sapiens,2008
JX569710.1,C08-125,Enterovirus C,Enterovirus,Picornaviridae,7439,complete,Cameroon,Homo sapiens,2008
JX569711.1,T10-259,Enterovirus C,Enterovirus,Picornaviridae,7438,complete,Chad,Homo sapiens,2010
JX569712.1,T09-216,Enterovirus C,Enterovirus,Picornaviridae,7438,complete,Chad,Homo sapiens,2009
JX885611.1,Picorna_ur_181630,Eidolon helvum kobuvirus,Kobuvirus,Picornaviridae,1120,partial,Ghana,Eidolon helvum,09-Jan
KC785524.1,,Enterovirus C,Enterovirus,Picornaviridae,7332,partial,Gambia,Homo sapiens,2009-04-28
KC787153.1,09C13CMR,Enterovirus A,Enterovirus,Picornaviridae,1863,partial,Cameroon,Homo sapiens,2009
KF040076.1,MB6123,Enterovirus MB6123,Enterovirus,Picornaviridae,1266,partial,Cameroon,Gorilla gorilla,
KF040077.1,MB6244,Enterovirus MB6244,Enterovirus,Picornaviridae,1266,partial,Cameroon,Pan troglodytes,
KF040078.1,MB6249,Enterovirus MB6249,Enterovirus,Picornaviridae,1266,partial,Cameroon,Pan troglodytes,
KF040079.1,MB6250,Enterovirus MB6250,Enterovirus,Picornaviridae,1266,partial,Cameroon,Pan troglodytes,
KF040080.1,MB6201,Enterovirus D,Enterovirus,Picornaviridae,1293,partial,Cameroon,Gorilla gorilla,
KF040081.1,MB6128,Enterovirus MB6128,Enterovirus,Picornaviridae,1293,partial,Cameroon,Gorilla gorilla,
KF112910.1,A/KEN/42/66,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2205,partial,Kenya,,1967-01-27
KF112911.1,A/KEN/1/2003,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2205,partial,Kenya,Bos taurus,2003-11-18
KF112912.1,A/KEN/22/2009,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2205,partial,Kenya,Bos taurus,2009-03-01
KF112913.1,A/LIB/14/2009,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2205,partial,Libya,Bos taurus,2009-02-20
KF112914.1,A/NGR/2/73,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2205,partial,Niger,Bos taurus,1973
KF112916.1,A/SUD/3/77,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2205,partial,Sudan,,1977
KF112917.1,A/SUD/1/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2205,partial,Sudan,Bos taurus,2006-11-09
KF112921.1,A/TOG/9/2005,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2205,partial,Togo,Bos taurus,2005-07-14
KF112925.1,A/UGA/13/66,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2205,partial,Uganda,Bos taurus,1966-02-05
KF541634.1,CPZ_Z046,Enterovirus A,Enterovirus,Picornaviridae,1487,partial,Cameroon,Pan troglodytes troglodytes,2008-04-30
KF541635.1,MNR_RCMH7,Enterovirus 123,Enterovirus,Picornaviridae,1150,partial,Cameroon,Mandrillus sphinx,2008-04-29
KF541636.1,MNK_RCMH5,Enterovirus 122,Enterovirus,Picornaviridae,1462,partial,Cameroon,Platyrrhini,2008-04-29
KF541637.1,MNK_RCMH3,Enterovirus 123,Enterovirus,Picornaviridae,1149,partial,Cameroon,Platyrrhini,2008-04-29
KF541639.1,CPZ_CHE20,Enterovirus J,Enterovirus,Picornaviridae,1680,partial,Cameroon,Pan troglodytes troglodytes,2007-05-15
KF647849.1,SAT3/KNP/10/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4328,partial,South Africa,Bos taurus,1990
KF647851.1,SAT3/ZIM/5/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4314,partial,Zimbabwe,Bos taurus,1991
KF647852.1,SAT1/KNP/196/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4329,partial,South Africa,Bos taurus,1991
KF647857.1,SAT1/ZIM/25/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4318,partial,Zimbabwe,Bos taurus,1990
KF647858.1,SAT1/MOZ/03/02,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4345,partial,Mozambique,Bos taurus,2002
KF647860.1,SAT1/TAN/01/99,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4305,partial,Tanzania,Bos taurus,1999
KF647861.1,SAT1/KEN/05/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4350,partial,Kenya,Bos taurus,1998
KF647865.1,SAT1/UGA/01/97,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4309,partial,Uganda,Bos taurus,1997
KF647866.1,SAT1/UGA/03/99,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4362,partial,Uganda,Bos taurus,1999
KF647867.1,SAT1/NIG/05/81,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4325,partial,Nigeria,Bos taurus,1981
KF647868.1,SAT1/SUD/03/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4321,partial,Sudan,Bos taurus,1976
KF647869.1,SAT1/NIG/15/75,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4321,partial,Nigeria,Bos taurus,1975
KF647870.1,SAT1/NIG/06/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4309,partial,Nigeria,Bos taurus,1976
KF700264.1,GOR_Z099,Enterovirus A,Enterovirus,Picornaviridae,1074,partial,Cameroon,Gorilla gorilla,2008-04-30
KJ144902.1,SAT2/KNP/19/89,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4290,partial,South Africa,Syncerus caffer,1989
KJ144904.1,SAT2/KNP/51/93,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4318,partial,South Africa,Aepyceros melampus,1993
KJ144905.1,SAT2/SAR/16/83,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4314,partial,South Africa,Aepyceros melampus,1983
KJ144906.1,SAT2/ZIM/08/94,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4327,partial,Zimbabwe,Syncerus caffer,1994
KJ144907.1,SAT2/ZIM/GN/10/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4315,partial,Zimbabwe,Syncerus caffer,1991
KJ144908.1,SAT2/ZIM/01/88,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4357,partial,Zimbabwe,Syncerus caffer,1988
KJ144909.1,SAT2/ZIM/34/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4325,partial,Zimbabwe,Syncerus caffer,1990
KJ144910.1,SAT2/ZIM/14/90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4314,partial,Zimbabwe,Syncerus caffer,1990
KJ144914.1,SAT2/ANG/4/74,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4309,partial,Angola,Bos taurus,1974
KJ144915.1,SAT2/KEN/03/57,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4283,partial,Kenya,Bos taurus,1957
KJ144916.1,SAT2/SEN/7/83,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4292,partial,Senegal,Bos taurus,1983
KJ144917.1,SAT2/GHA/08/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4283,partial,Ghana,Bos taurus,1991
KJ144918.1,SAT2/UGA/02/02,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4303,partial,Uganda,Bos taurus,2002
KJ144919.1,SAT2/RWA/02/01,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4329,partial,Rwanda,Bos taurus,2001
KJ144921.1,SAT2/ERI/12/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4301,partial,Eritrea,Bos taurus,1998
KJ144922.1,O/UGA/07/03,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4194,partial,Uganda,Bos taurus,2003
KJ144923.1,O/TAN/03/96,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4194,partial,Tanzania,Bos taurus,1996
KJ144925.1,O/UGA/01/75,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4194,partial,Uganda,Bos taurus,1975
KJ144926.1,O/UGA/06/76,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4194,partial,Uganda,Bos taurus,1976
KJ144927.1,O/UGA/17/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4194,partial,Uganda,Bos taurus,1998
KJ144928.1,O/KEN/10/95,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4194,partial,Kenya,Bos taurus,1995
KJ144929.1,O/ETH/03/96,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4194,partial,Ethiopia,Bos taurus,1996
KJ144930.1,O/SUD/04/80,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4194,partial,Sudan,Bos taurus,1980
KJ144932.1,A/CIV/4/95,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4311,partial,Cote d'Ivoire,Bos taurus,1974
KJ144933.1,A/SEN/10/97,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4306,partial,Senegal,Bos taurus,1997
KJ144934.1,A/ETH/07/92,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4326,partial,Ethiopia,Bos taurus,1992
KJ144935.1,A/SOM/01/78,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4304,partial,Somalia,Bos taurus,1978
KJ144936.1,A/ETH/02/79,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4319,partial,Ethiopia,Bos taurus,1979
KJ144937.1,A/TAN/04/80,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4355,partial,Tanzania,Bos taurus,1980
KJ155495.1,EGY1218587,Enterovirus C,Enterovirus,Picornaviridae,7443,complete,Egypt,Homo sapiens,2012
KJ170436.1,,Enterovirus C,Enterovirus,Picornaviridae,7388,complete,Nigeria,Homo sapiens,2010
KJ170437.1,,Enterovirus C,Enterovirus,Picornaviridae,7388,complete,Nigeria,Homo sapiens,2012
KJ170467.1,,Enterovirus C,Enterovirus,Picornaviridae,7388,complete,Nigeria,Homo sapiens,2009
KJ418244.1,GAB130,Enterovirus B,Enterovirus,Picornaviridae,6545,partial,Gabon,Pan troglodytes troglodytes,09-Oct
KJ420747.1,GR_2815/07,Enterovirus sp.,Enterovirus,Picornaviridae,7374,complete,Cameroon,Mandrillus sphinx,2007-03-28
KJ420748.1,CPML_3961/08,Enterovirus sp.,Enterovirus,Picornaviridae,7402,complete,Cameroon,Mandrillus sphinx,2008-02-04
KJ676543.1,SEN/5/75,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,4312,partial,Senegal,Bos taurus,1975
KJ701248.1,GAB_98,Enterovirus B,Enterovirus,Picornaviridae,6974,partial,Gabon,Pan troglodytes troglodytes,2010
KJ701249.1,GAB_653,Enterovirus B,Enterovirus,Picornaviridae,6224,partial,Gabon,Mandrillus sphinx,2010
KJ820999.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8203,complete,Uganda,Bos taurus,2013-06-13
KJ831705.1,SUD/8/2008,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2202,partial,Sudan,Bos taurus,2008
KJ831706.1,TAN/2/2004,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2202,partial,Tanzania,Bos taurus,2004
KJ831737.1,ALG/02/1999,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2202,partial,Algeria,Bos taurus,1999
KJ999911.1,SAR/9/03,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,South Africa,Bos taurus,2003
KJ999912.1,SAR/2/09,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,South Africa,Bos taurus,2009
KJ999913.1,SAR/2/10,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,South Africa,Bos taurus,2010
KJ999919.1,BOT/1/06,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,Botswana,Bos taurus,2006
KJ999924.1,ZIM/3/95,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,Zimbabwe,Bos taurus,1995
KJ999925.1,ZIM/14/98,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,Zimbabwe,Bos taurus,1998
KJ999926.1,ZIM/3/03,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,Zimbabwe,Bos taurus,2003
KJ999930.1,ZAM/1/06,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2232,partial,Zambia,Bos taurus,2006
KJ999932.1,SAT2/SAR/01/01,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Bos taurus,2001
KJ999933.1,SAT2/KNP/15/07,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Bos taurus,2007
KJ999934.1,SAT2/KNP/20/08,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Bos taurus,2008
KJ999937.1,SAT2/NAM/04/07,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,Namibia,Bos taurus,2007
KJ999938.1,SAT2/NAM/1/08,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,Namibia,Bos taurus,2008
KJ999939.1,SAT2/MAL/1/08,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,Malawi,Bos taurus,2008
KM068048.1,DD2,Aichivirus A,Kobuvirus,Picornaviridae,8313,complete,Tanzania,Canis lupus familiaris,2003-01-20
KM068049.1,82,Aichivirus A,Kobuvirus,Picornaviridae,8313,complete,Tanzania,Canis adustus,2010-11-20
KM068050.1,75,Aichivirus A,Kobuvirus,Picornaviridae,8313,complete,Tanzania,Canis aureus,2011-01-13
KM068051.1,B103,Aichivirus A,Kobuvirus,Picornaviridae,8313,complete,Tanzania,Crocuta crocuta,2010-03-02
KM268897.1,KEN/1/2004,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8199,complete,Kenya,Bos taurus,2004-01-07
KM268899.1,TAN/22/2012,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8156,complete,Tanzania,Bos taurus,2012-04-30
KM268901.1,ZIM/6/91,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8178,complete,Zimbabwe,Bos taurus,1991-07-16
KM273013.1,Mar-38,Enterovirus B,Enterovirus,Picornaviridae,7336,partial,Democratic Republic of the Congo,Homo sapiens,
KM273014.1,05-May,Enterovirus C,Enterovirus,Picornaviridae,7365,partial,Djibouti,Homo sapiens,
KM667941.1,BEV/Egypt/2014,Enterovirus E,Enterovirus,Picornaviridae,7417,complete,Egypt,Bos taurus,2014
KM880096.1,,Enterovirus C,Enterovirus,Picornaviridae,7176,partial,Burundi,Homo sapiens,10-Nov
KP202877.1,O/KEN/77/78,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2202,partial,Kenya,Bos taurus,1978
KP940473.1,FMD/O/Dakahlia/Egypt/2014,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7765,partial,Egypt,Bos taurus,2014
KR108950.1,KNP-10-90,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8165,complete,South Africa,Syncerus caffer,2009
KR149721.1,O/SOM/1/2007,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2208,partial,Somalia,,2007
KR149722.1,O/TAN/5/2009,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2208,partial,Tanzania,,2009
KR149723.1,O/MAI/15/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2208,partial,Mali,,2006
KR149725.1,O/SEN/8/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2208,partial,Senegal,,2006
KR149727.1,O/EGY/8/2006,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2208,partial,Egypt,,2006
KR817061.1,EGY52,Enterovirus C,Enterovirus,Picornaviridae,2637,partial,Egypt,,1952
KR817062.1,EGY42,Enterovirus C,Enterovirus,Picornaviridae,2637,partial,Egypt,,1942
KR817064.1,MOR78,Enterovirus C,Enterovirus,Picornaviridae,2637,partial,Morocco,,1978
KR817066.1,CAM80,Enterovirus C,Enterovirus,Picornaviridae,2637,partial,Cameroon,,1980
KR997879.1,PV1_ID593T_5UTR/VP2,Enterovirus C,Enterovirus,Picornaviridae,1557,partial,Tanzania,Homo sapiens,2008-07-23
KR997882.1,HRV-C16_ID639T_5UTR/VP1,Rhinovirus C,Enterovirus,Picornaviridae,3338,partial,Tanzania,Homo sapiens,2008-05-08
KT161977.1,KNP/15/96,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2220,partial,South Africa,Bos taurus,1996
KT319121.2,,Parechovirus A,Parechovirus,Picornaviridae,7077,partial,Cote d'Ivoire,Homo sapiens,14-Jan
KT452729.1,FO1AF48Rhilan2010,Hepatovirus G,Hepatovirus,Picornaviridae,7151,partial,Ghana,Rhinolophus landeri,2010
KT751300.1,A36/67_ID976T,Rhinovirus A,Enterovirus,Picornaviridae,3019,partial,Tanzania,Homo sapiens,2008-11-26
KT819575.1,KibOB-1,Hepatovirus A,Hepatovirus,Picornaviridae,7251,complete,Uganda,Papio anubis,2010-09-14
KU291242.1,MOR/1/2015,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8115,complete,Morocco,Bos taurus,2015-10-28
KU821590.1,SAT1/NAM01/2010,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8075,complete,Namibia,Bos taurus,2010-04-14
KU821591.1,O/ZAM14/2010,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8152,complete,Zambia,Bos taurus,2010-10-18
KU821592.1,SAT2/ZAM18/2009,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,8171,complete,Zambia,Bos taurus,2009-02-02
KU955338.1,,Cardiovirus A,Cardiovirus,Picornaviridae,7548,complete,Central African Republic,Tatera,1983
KX162678.1,,Enterovirus C,Enterovirus,Picornaviridae,7395,complete,Cameroon,Homo sapiens,2012-09-23
KX162679.1,,Enterovirus C,Enterovirus,Picornaviridae,7363,complete,Cameroon,Homo sapiens,2014-01-23
KX162682.1,,Enterovirus C,Enterovirus,Picornaviridae,7360,complete,Central African Republic,Homo sapiens,2011-10-11
KX162683.1,,Enterovirus C,Enterovirus,Picornaviridae,7362,complete,Chad,Homo sapiens,2011-11-25
KX162684.1,,Enterovirus C,Enterovirus,Picornaviridae,7435,complete,Chad,Homo sapiens,2012-06-23
KX162694.1,,Enterovirus C,Enterovirus,Picornaviridae,7422,complete,Equatorial Guinea,Homo sapiens,2014-03-31
KX162696.1,,Enterovirus C,Enterovirus,Picornaviridae,7414,complete,Nigeria,Homo sapiens,2006-05-19
KX162707.1,,Enterovirus C,Enterovirus,Picornaviridae,7399,complete,Nigeria,Homo sapiens,2011-11-22
KX162713.1,,Enterovirus C,Enterovirus,Picornaviridae,7429,complete,Nigeria,Homo sapiens,2014-11-13
KX162714.1,,Enterovirus C,Enterovirus,Picornaviridae,7440,complete,Nigeria,Homo sapiens,2015-01-20
KX228694.1,HAV/Egy/BI-11/2015,Hepatovirus A,Hepatovirus,Picornaviridae,7323,complete,Egypt,,2014
KX721253.1,H036,Human cosavirus,Cosavirus,Picornaviridae,1224,partial,Tunisia,Homo sapiens,2011
KY003229.1,20160920,Hepatovirus A,Hepatovirus,Picornaviridae,7386,complete,South Africa,,2011
KY407744.1,,Aichivirus B,Kobuvirus,Picornaviridae,8319,complete,Egypt,Bos taurus,2014
KY548406.1,FMDV_O/ALB-F1-001-P_2014_UG,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,2805,partial,Uganda,Bos taurus,2014
KY624849.1,RV-C45-cpz1-2013,Rhinovirus C,Enterovirus,Picornaviridae,6972,partial,Uganda,Pan troglodytes schweinfurthii,2013-03-11
KY825720.1,SAT2/EGY/24/2014,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7385,partial,Egypt,,2014
KY825728.1,SAT1/SAR/3/2000,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,5055,partial,South Africa,,1920
KY941931.1,,Enterovirus C,Enterovirus,Picornaviridae,7450,complete,Ethiopia,Homo sapiens,2013
LC384395.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,1000,partial,Egypt,Ruminantia,2016
LC384398.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,1017,partial,Egypt,Ruminantia,2017
LC456870.1,,Foot-and-mouth disease virus,Aphthovirus,Picornaviridae,7570,partial,Ghana,Bos indicus,18-Sep
LC508226.1,PSV-20-V,Sapelovirus A,Sapelovirus,Picornaviridae,7495,partial,Zambia,Sus scrofa,2018
LC515196.1,,Hepatovirus A,Hepatovirus,Picornaviridae,7419,complete,Gabon,Homo sapiens,2016-01-08
LC585221.1,,Cardiovirus A,Cardiovirus,Picornaviridae,7650,partial,Zambia,Mastomys natalensis,2012
LK021688.1,,Enterovirus A,Enterovirus,Picornaviridae,7407,complete,Madagascar,Homo sapiens,2011
LR798439.1,ALG-2013-328-DZA,Enterovirus A,Enterovirus,Picornaviridae,4428,partial,Algeria,,2013
LS451300.1,,Enterovirus C,Enterovirus,Picornaviridae,7274,partial,Madagascar,Homo sapiens,2003
LT719061.1,,Enterovirus A,Enterovirus,Picornaviridae,7411,partial,Madagascar,Homo sapiens,2007
LT719064.1,,Enterovirus A,Enterovirus,Picornaviridae,7412,partial,Madagascar,Homo sapiens,2010
LT719065.1,,Enterovirus A,Enterovirus,Picornaviridae,7413,partial,Madagascar,Homo sapiens,2004
LT719066.1,,Enterovirus A,Enterovirus,Picornaviridae,7413,partial,Cameroon,Homo sapiens,2008
LT719068.1,,Enterovirus A,Enterovirus,Picornaviridae,7413,partial,Central African Republic,Homo sapiens,2003
LT934386.1,stool,Enterovirus A,Enterovirus,Picornaviridae,7409,partial,Tunisia,Homo sapiens,
LT934387.1,stool,Enterovirus C,Enterovirus,Picornaviridae,7346,partial,Tunisia,Homo sapiens,
