pointer,OQ818325,OQ818328,OQ818329,OQ818321,OQ818337,OQ818316,OQ818318,OQ818323,OQ818324,OQ818319,OQ818322,OQ818317
5860,0,0,10,30,0,0,0,0,0,0,0,0
5880,0,0,3,49,0,0,0,0,0,0,0,0
5900,0,0,1,75,0,0,0,0,0,0,0,0
5920,0,0,1,76,0,0,0,0,0,0,0,0
5940,0,0,0,75,0,0,0,0,0,0,0,0
5960,0,0,0,81,0,0,0,0,0,1,0,0
5980,0,0,0,77,0,0,0,0,0,0,0,0
6000,0,0,0,76,0,0,0,0,0,0,0,0
6020,0,0,0,47,3,0,0,0,0,0,0,0
6040,0,0,3,36,2,3,0,0,0,0,1,0
6060,0,0,1,32,2,0,0,0,0,0,0,0
6080,0,0,3,33,1,0,0,0,0,0,0,0
6100,0,0,8,25,3,3,0,0,0,0,0,0
6120,0,0,10,29,3,0,0,0,0,0,0,0
6140,0,0,8,48,0,0,0,0,0,0,0,0
6160,0,0,2,36,0,1,0,0,0,0,0,0
6180,0,0,12,46,0,1,0,0,0,0,0,0
6200,0,0,15,56,0,0,0,0,0,0,0,0
6220,0,0,0,53,0,0,0,0,0,0,0,0
6240,0,0,7,43,0,0,0,0,0,0,0,0
6260,0,0,2,50,0,0,0,0,0,0,0,0
6280,0,0,13,27,0,1,0,0,0,0,0,0
6300,0,0,23,21,0,0,0,0,0,0,0,0
6320,0,0,21,22,0,0,0,0,0,0,0,0
6340,0,0,22,22,0,0,0,0,0,0,0,0
6360,0,0,26,25,0,0,0,0,0,0,0,0
6380,0,0,31,14,0,0,0,0,0,0,0,0
6400,0,0,25,28,0,0,0,0,0,0,0,0
6420,0,0,16,24,0,0,0,0,0,0,0,0
6440,0,0,3,51,0,0,0,0,0,0,0,0
6460,0,0,4,36,0,0,0,0,0,0,0,0
6480,0,0,2,26,0,0,0,0,0,0,0,0
6500,0,0,10,22,0,0,0,0,0,2,0,0
6520,0,0,8,13,0,0,0,0,0,1,0,0
6540,0,0,9,13,0,0,0,0,0,6,0,0
6560,0,0,11,13,0,1,0,0,0,5,0,2
6580,0,0,21,17,0,1,0,0,0,3,0,0
6600,0,0,11,6,0,3,0,0,0,0,0,0
6620,0,0,34,52,0,0,0,0,0,0,0,0
6640,0,0,15,53,0,0,0,0,0,0,0,0
6660,0,0,22,30,0,0,0,0,0,0,0,0
6680,0,0,9,57,0,0,0,0,0,0,0,0
6700,0,0,5,74,0,0,0,0,0,0,0,0
6720,0,0,0,92,0,0,0,0,0,0,0,0
6740,0,0,0,88,0,0,0,0,0,0,0,0
6760,0,0,0,89,0,0,0,0,0,0,0,0
6780,0,0,0,91,0,0,0,0,0,0,0,0
6800,0,0,0,85,0,0,0,0,0,0,0,0
6820,0,0,0,52,0,0,0,0,0,0,0,0
6840,0,0,2,39,0,0,0,0,0,0,0,0
6860,0,0,1,45,0,0,0,0,0,0,0,0
6880,0,0,4,56,0,0,0,0,0,0,0,0
6900,0,0,4,53,0,0,0,0,0,0,0,0
6920,0,0,9,39,0,0,0,0,0,0,0,0
6940,1,0,7,44,0,0,0,0,0,6,0,1
6960,1,0,10,29,0,3,0,0,0,1,0,1
6980,2,0,18,40,0,2,0,0,0,2,0,0
7000,1,0,10,67,0,0,0,0,0,2,0,0
7020,0,0,4,64,0,0,0,0,0,1,0,0
7040,0,0,1,71,0,0,0,0,0,2,0,0
7060,0,0,0,74,0,0,0,0,0,0,0,2
7080,0,0,0,79,0,0,0,0,0,0,0,0
7100,0,0,1,60,0,0,0,0,0,0,0,3
7120,0,0,0,42,0,0,0,0,0,0,0,5
7140,0,0,2,26,0,0,0,0,0,0,0,2
7160,0,0,0,29,0,0,0,0,0,0,0,4
7180,0,0,0,35,0,0,0,0,0,0,0,1
7200,0,0,2,30,0,0,0,0,0,0,0,1
7220,0,0,2,46,0,0,0,0,0,0,0,0
7240,0,0,0,27,0,2,0,0,0,0,0,0
7260,0,0,8,44,0,0,0,0,0,0,0,0
7280,0,0,7,32,0,0,0,0,0,1,0,0
7300,0,0,4,37,0,0,0,0,0,0,0,0
7320,0,0,16,46,0,1,0,0,0,0,0,0
7340,0,0,16,55,0,0,0,0,0,0,0,0
7360,0,0,18,63,0,0,0,0,0,0,0,0
7380,0,0,22,29,0,0,0,0,0,0,0,0
7400,0,0,7,30,1,0,0,0,0,0,0,0
7420,0,0,8,34,0,0,0,0,0,0,0,0
7440,0,0,11,25,0,0,0,0,0,0,0,0
7460,0,0,7,21,3,0,0,0,0,0,0,0
7480,0,0,1,30,1,0,0,0,0,0,0,0
7500,0,0,4,35,0,0,0,0,0,0,0,0
7520,0,0,6,34,0,0,0,0,0,3,0,0
7540,0,0,3,26,0,0,0,0,0,2,0,0
7560,0,0,1,16,0,0,0,0,0,0,0,0
7580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7780,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8240,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8260,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8400,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8460,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8480,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8540,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8580,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8620,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8640,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8680,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8700,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8720,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8740,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8780,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8880,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8920,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8940,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9020,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
