pointer,KT452714,KX420952,MG559674,KT452729,KT452730,OM302498,KT452742
5080,88,1,0,0,0,0,1
5100,89,1,0,0,0,0,0
5120,98,0,0,0,0,0,0
5140,100,0,0,0,0,0,0
5160,96,0,0,0,0,0,0
5180,96,0,0,0,0,0,0
5200,95,0,0,0,0,0,1
5220,91,0,0,0,0,0,0
5240,100,0,0,0,0,0,0
5260,98,0,0,0,0,0,2
5280,99,0,0,0,0,0,0
5300,95,0,0,0,0,0,4
5320,95,0,0,0,0,0,2
5340,79,2,0,0,0,0,5
5360,69,0,0,0,0,0,14
5380,69,0,0,0,0,0,5
5400,81,0,0,0,0,0,2
5420,69,0,0,0,0,0,2
5440,57,0,0,0,0,0,1
5460,66,0,8,0,0,0,0
5480,49,0,16,0,0,0,3
5500,70,0,3,0,0,0,2
5520,65,0,2,0,0,0,5
5540,50,0,3,0,0,0,11
5560,71,0,6,0,0,0,8
5580,55,0,6,0,0,0,14
5600,51,0,6,0,0,0,10
5620,69,0,3,0,0,0,11
5640,45,0,3,0,0,4,18
5660,20,0,4,0,0,1,50
5680,13,0,4,0,0,1,35
5700,36,0,9,0,0,0,33
5720,50,0,4,0,0,0,19
5740,64,0,4,0,0,0,14
5760,28,0,13,0,0,0,22
5780,41,0,6,0,0,0,16
5800,56,0,9,0,0,0,10
5820,65,0,5,0,0,0,5
5840,64,0,17,0,0,0,1
5860,80,0,7,0,0,0,0
5880,71,2,9,0,0,0,0
5900,64,1,5,0,0,0,0
5920,61,10,4,0,1,0,0
5940,70,9,5,0,1,0,0
5960,87,0,0,0,0,0,0
5980,70,12,0,0,0,0,0
6000,82,1,0,0,0,0,0
6020,96,1,0,0,0,0,0
6040,98,0,0,0,0,0,0
6060,99,0,0,0,0,0,0
6080,99,0,0,0,0,0,0
6100,97,0,1,0,0,0,0
6120,98,0,1,0,0,0,1
6140,99,0,1,0,0,0,0
6160,94,1,2,0,0,0,0
6180,100,0,0,0,0,0,0
6200,86,4,8,0,0,0,1
6220,44,12,39,0,0,0,2
6240,20,11,55,0,0,0,8
6260,13,20,23,5,0,0,25
